,Binomial,Range_m,Genus,Family,Order,AdultBodyMassG,GenerationLengthD,RedListStatus,TrophicLevel,Range
1209,Epomophorus crypturus,2084351802393.2,Epomophorus,Pteropodidae,Chiroptera,95.04,1553.7908730000001,LC,Herbivore,2084351.8023931999
1210,Epomophorus gambianus,3791198002772.94,Epomophorus,Pteropodidae,Chiroptera,134.59,2349.856741,LC,Herbivore,3791198.00277294
1211,Epomophorus grandis,508126194.39054805,Epomophorus,Pteropodidae,Chiroptera,49.42,1553.7908730000001,DD,Herbivore,508.126194390548
1212,Epomophorus labiatus,1765045211461.69,Epomophorus,Pteropodidae,Chiroptera,69.65,1553.7908730000001,LC,Herbivore,1765045.21146169
1213,Epomophorus minimus,264485882195.876,Epomophorus,Pteropodidae,Chiroptera,88.458,1553.7908730000001,LC,Herbivore,264485.88219587604
1214,Epomophorus wahlbergi,4968585012592.72,Epomophorus,Pteropodidae,Chiroptera,93.59,1553.7908730000001,LC,Herbivore,4968585.01259272
1215,Epomops buettikoferi,1079555418915.81,Epomops,Pteropodidae,Chiroptera,135.67,2349.856741,LC,Herbivore,1079555.41891581
1216,Epomops dobsonii,1366391793614.3,Epomops,Pteropodidae,Chiroptera,122.08,2349.856741,LC,Herbivore,1366391.7936143
1217,Epomops franqueti,4509719726338.37,Epomops,Pteropodidae,Chiroptera,118.99,2349.856741,LC,Herbivore,4509719.72633837
1218,Eptesicus andinus,811200273761.177,Eptesicus,Vespertilionidae,Chiroptera,12.56384615,2400.9362,LC,Insectivore,811200.2737611771
1219,Eptesicus bobrinskoi,643909243119.347,Eptesicus,Vespertilionidae,Chiroptera,7.54,2400.9362,LC,Insectivore,643909.243119347
1220,Eptesicus bottae,3885112946368.78,Eptesicus,Vespertilionidae,Chiroptera,15.66,2400.9362,LC,Insectivore,3885112.94636878
1221,Eptesicus brasiliensis,13117340262551.4,Eptesicus,Vespertilionidae,Chiroptera,9.2,2400.9362,LC,Insectivore,13117340.2625514
1222,Eptesicus chiriquinus,187151357154.65,Eptesicus,Vespertilionidae,Chiroptera,12.56384615,2400.9362,LC,Insectivore,187151.35715465
1223,Eptesicus diminutus,2385956805389.73,Eptesicus,Vespertilionidae,Chiroptera,5.99,2400.9362,LC,Insectivore,2385956.80538973
1224,Eptesicus dimissus,4071484949.4963603,Eptesicus,Vespertilionidae,Chiroptera,13.03,2400.9362,DD,Insectivore,4071.48494949636
1225,Eptesicus floweri,876002548256.2241,Eptesicus,Vespertilionidae,Chiroptera,12.56384615,2400.9362,LC,Insectivore,876002.548256224
1226,Eptesicus furinalis,16292708034045.2,Eptesicus,Vespertilionidae,Chiroptera,7.7,2400.9362,LC,Insectivore,16292708.034045199
1227,Eptesicus fuscus,12789255222366.7,Eptesicus,Vespertilionidae,Chiroptera,17.49,2400.9362,LC,Insectivore,12789255.2223667
1228,Eptesicus gobiensis,3883902086067.6,Eptesicus,Vespertilionidae,Chiroptera,12.56384615,2400.9362,LC,Insectivore,3883902.0860676
1229,Eptesicus guadeloupensis,1468688416.30704,Eptesicus,Vespertilionidae,Chiroptera,12.56384615,2400.9362,EN,Insectivore,1468.6884163070401
1230,Eptesicus hottentotus,2853467582287.29,Eptesicus,Vespertilionidae,Chiroptera,30.33,2400.9362,LC,Insectivore,2853467.58228729
1231,Eptesicus innoxius,167224006784.59302,Eptesicus,Vespertilionidae,Chiroptera,12.56384615,2400.9362,NT,Insectivore,167224.00678459302
1232,Eptesicus japonensis,3409887462.52267,Eptesicus,Vespertilionidae,Chiroptera,12.56384615,2400.9362,EN,Insectivore,3409.8874625226695
1233,Eptesicus nasutus,1865591723867.52,Eptesicus,Vespertilionidae,Chiroptera,7.91,2400.9362,LC,Insectivore,1865591.72386752
1234,Eptesicus nilssonii,10472992149605.0,Eptesicus,Vespertilionidae,Chiroptera,10.72,2400.9362,LC,Insectivore,10472992.149605
1235,Eptesicus pachyotis,1205038297795.01,Eptesicus,Vespertilionidae,Chiroptera,8.1,2400.9362,LC,Insectivore,1205038.29779501
1236,Eptesicus platyops,926100899.0020131,Eptesicus,Vespertilionidae,Chiroptera,12.56384615,2400.9362,DD,Insectivore,926.100899002013
1237,Eptesicus serotinus,12118863135535.7,Eptesicus,Vespertilionidae,Chiroptera,23.09,2400.9362,LC,Insectivore,12118863.1355357
1238,Eptesicus tatei,1128001701.38637,Eptesicus,Vespertilionidae,Chiroptera,12.56384615,2400.9362,DD,Insectivore,1128.0017013863699
1239,Equus zebra,319595870022.87,Equus,Equidae,Perissodactyla,282462.1,4024.699367,VU,Herbivore,319595.87002287
1240,Eremitalpa granti,50294062036.8367,Eremitalpa,Chrysochloridae,Afrosoricida,22.04,1036.557583,LC,Insectivore,50294.0620368367
1241,Eremodipus lichtensteini,559492755309.87,Eremodipus,Dipodidae,Rodentia,51.0,726.1971375,LC,Herbivore,559492.75530987
1242,Eremoryzomys polius,14290291180.3919,Eremoryzomys,Cricetidae,Rodentia,60.64641072,589.3882991,DD,Omnivore,14290.2911803919
1243,Erethizon dorsatum,12063259766385.5,Erethizon,Erethizontidae,Rodentia,7419.46,3011.15825,LC,Herbivore,12063259.7663855
1244,Erinaceus amurensis,4254779309088.76,Erinaceus,Erinaceidae,Eulipotyphla,780.0,1268.0745,LC,Insectivore,4254779.30908876
1245,Erinaceus concolor,1346254768993.88,Erinaceus,Erinaceidae,Eulipotyphla,665.99,927.6256,LC,Insectivore,1346254.76899388
1246,Erinaceus europaeus,3809039021647.45,Erinaceus,Erinaceidae,Eulipotyphla,777.95,1608.5234,LC,Carnivore,3809039.02164745
1247,Erinaceus roumanicus,6029712132665.16,Erinaceus,Erinaceidae,Eulipotyphla,772.0,1268.0745,LC,Carnivore,6029712.13266516
1248,Eropeplus canus,12606895947.6368,Eropeplus,Muridae,Rodentia,50.0,624.3996409,VU,Omnivore,12606.8959476368
1249,Erophylla bombifrons,82891948783.2304,Erophylla,Phyllostomidae,Chiroptera,16.28,2064.27635,LC,Omnivore,82891.9487832304
1250,Erophylla sezekorni,122945384020.78,Erophylla,Phyllostomidae,Chiroptera,15.87,2064.27635,LC,Omnivore,122945.38402078
1251,Erythrocebus patas,7128871528755.06,Erythrocebus,Cercopithecidae,Primates,7966.3,3529.3359,LC,Herbivore,7128871.52875506
1252,Euchoreutes naso,1674846988775.49,Euchoreutes,Dipodidae,Rodentia,24.14,726.1971375,LC,Insectivore,1674846.98877549
1253,Euderma maculatum,2104986074271.9,Euderma,Vespertilionidae,Chiroptera,16.17,2051.6662079999996,LC,Insectivore,2104986.0742718996
1254,Eudiscopus denticulus,5126244093.91677,Eudiscopus,Vespertilionidae,Chiroptera,10.17892383,2051.6662079999996,LC,Insectivore,5126.24409391677
1255,Eulemur albifrons,18368020505.871998,Eulemur,Lemuridae,Primates,2300.0,2920.0,EN,Herbivore,18368.020505872
1256,Eulemur collaris,8159929146.66677,Eulemur,Lemuridae,Primates,2250.0,2920.0,EN,Herbivore,8159.92914666677
1257,Eulemur coronatus,6235817985.5974,Eulemur,Lemuridae,Primates,1699.85,3062.15,EN,Herbivore,6235.8179855973995
1258,Eulemur flavifrons,2530924177.6700897,Eulemur,Lemuridae,Primates,2158.365455,2920.0,CR,,2530.9241776700896
1259,Eulemur fulvus,48249446627.835,Eulemur,Lemuridae,Primates,2376.99,2920.0,NT,Herbivore,48249.446627835
1260,Eulemur macaco,8304305309.094359,Eulemur,Lemuridae,Primates,2040.0,4120.412,VU,Herbivore,8304.30530909436
1261,Eulemur mongoz,6668955562.86026,Eulemur,Lemuridae,Primates,1771.13,4154.1015,CR,Herbivore,6668.95556286026
1262,Eulemur rubriventer,49839087251.340996,Eulemur,Lemuridae,Primates,2015.4,2920.0,VU,Herbivore,49839.087251341
1263,Eulemur rufifrons,32614165369.93,Eulemur,Lemuridae,Primates,2250.0,2920.0,NT,Herbivore,32614.16536993
1264,Eulemur rufus,38354456858.7664,Eulemur,Lemuridae,Primates,2394.62,3206.295944,VU,Herbivore,38354.4568587664
1265,Eulemur sanfordi,3693589885.48729,Eulemur,Lemuridae,Primates,2394.03,3206.295944,EN,Herbivore,3693.58988548729
1266,Eumops auripendulus,14106769898503.1,Eumops,Molossidae,Chiroptera,28.49,1427.913317,LC,Insectivore,14106769.8985031
1267,Eumops bonariensis,1161090373661.28,Eumops,Molossidae,Chiroptera,12.22,1427.913317,LC,Insectivore,1161090.37366128
1268,Eumops dabbenei,2407709822846.04,Eumops,Molossidae,Chiroptera,67.27,1427.913317,LC,Insectivore,2407709.82284604
1269,Eumops glaucinus,8971213903782.51,Eumops,Molossidae,Chiroptera,36.2,1427.913317,LC,Insectivore,8971213.90378251
1270,Eumops hansae,6416222891025.68,Eumops,Molossidae,Chiroptera,15.47,1427.913317,LC,Insectivore,6416222.89102568
1271,Eumops maurus,1223527249833.19,Eumops,Molossidae,Chiroptera,38.47,1427.913317,DD,Insectivore,1223527.24983319
1272,Eumops patagonicus,1535787151565.89,Eumops,Molossidae,Chiroptera,38.47,1427.913317,LC,Insectivore,1535787.15156589
1273,Eumops perotis,11695631269560.5,Eumops,Molossidae,Chiroptera,50.97,1427.913317,LC,Insectivore,11695631.2695605
1274,Eumops trumbulli,4744456137410.25,Eumops,Molossidae,Chiroptera,38.47,1427.913317,LC,Insectivore,4744456.13741025
1275,Eumops underwoodi,955823887095.1421,Eumops,Molossidae,Chiroptera,58.67,1427.913317,LC,Insectivore,955823.887095142
1276,Euneomys chinchilloides,76633313261.5624,Euneomys,Cricetidae,Rodentia,75.57,589.3882991,DD,Herbivore,76633.3132615624
1277,Euneomys fossor,9897855793.3439,Euneomys,Cricetidae,Rodentia,83.0,589.3882991,DD,Herbivore,9897.8557933439
1278,Euneomys mordax,52358500807.7196,Euneomys,Cricetidae,Rodentia,81.99,589.3882991,LC,Herbivore,52358.500807719596
1279,Euneomys petersoni,591117957365.114,Euneomys,Cricetidae,Rodentia,83.0,589.3882991,LC,Herbivore,591117.957365114
1280,Euoticus elegantulus,782197192098.0941,Euoticus,Galagidae,Primates,295.48,1825.0,LC,Omnivore,782197.192098094
1281,Euoticus pallidus,95879161913.9475,Euoticus,Galagidae,Primates,277.37,1825.0,LC,Herbivore,95879.1619139475
1282,Eupleres goudotii,83230629611.9184,Eupleres,Eupleridae,Carnivora,2763.34,2894.45,VU,Insectivore,83230.6296119184
1283,Euroscaptor grandis,114257542044.76599,Euroscaptor,Talpidae,Eulipotyphla,46.84098624,759.1857213999999,LC,Insectivore,114257.542044766
