,Binomial,AdultBodyMassG,RedListStatus,TrophicLevel,total_pop,label,Range_km_2,pop_density
382,Ursus americanus,110500,LC,Omnivore,898610,Entire range,10469241.4812846,0.085833343476355
383,Ursus arctos,196287.5,LC,Omnivore,220000,Entire range,24236550.9483633,0.009077199163722
384,Ursus maritimus,371703.8,VU,Omnivore,26000,Entire range,22637382.9062999,0.001148542660944
385,Vicugna vicugna,47499.61,LC,Herbivore,525000,Entire range,619645.660382485,0.847258414875263
386,Vulpes pallida,2800.01,LC,Omnivore,47433.9277311082,Entire range,4151647.57448814,0.011425326181969
387,Wyulda squamicaudata,1799.21,NT,Omnivore,10606.6017177982,Entire range,82870.7176205392,0.12798974139895
388,Xeromys myoides,45.2,VU,Omnivore,23717.0824512628,Entire range,12791.4397534039,1.85413705638191
389,Zyzomys maini,93.99,VU,Herbivore,30000,Entire range,21160.9551832997,1.41770537956038
390,Zyzomys palatalis,123,CR,NotAssigned,1500,Entire range,2582.44451176013,0.580845006802348
391,Zyzomys pedunculatus,100,CR,Herbivore,1200,Entire range,7107.41757681357,0.168837694849216
392,Catopuma badia,3429.52,EN,NA,3300,Entire range,268234.064586005,0.012302687971766
393,Felis bieti,14998.5,VU,NA,5486.95,Entire range,620424.636016717,0.024174571945263
