,Binomial,Range_km_2,AdultBodyMassG,Order,Family,Genus,RedListStatus,TrophicLevel
2517,Microtus ochrogaster,3206656.85936656,42.5,RODENTIA,CRICETIDAE,Microtus,LC,Omnivore
2518,Microtus oeconomus,18612447.6168366,33.1,RODENTIA,CRICETIDAE,Microtus,LC,Herbivore
2519,Microtus oregoni,206847.866481462,20.35,RODENTIA,CRICETIDAE,Microtus,LC,Herbivore
2520,Microtus paradoxus,52488.5800802527,46.25861204,RODENTIA,CRICETIDAE,Microtus,LC,Herbivore
2521,Microtus pennsylvanicus,11962109.1852533,42.53,RODENTIA,CRICETIDAE,Microtus,LC,Herbivore
2522,Microtus pinetorum,2753271.69172415,25.95,RODENTIA,CRICETIDAE,Microtus,LC,Herbivore
2523,Microtus qazvinensis,73344.3724187402,39.18488604,RODENTIA,CRICETIDAE,Microtus,LC,Herbivore
2524,Microtus quasiater,19611.02675371,40,RODENTIA,CRICETIDAE,Microtus,NT,Herbivore
2525,Microtus richardsoni,859719.998506477,85.5,RODENTIA,CRICETIDAE,Microtus,LC,Omnivore
2526,Microtus sachalinensis,45127.8868658869,48.03991576,RODENTIA,CRICETIDAE,Microtus,NT,Omnivore
2527,Microtus savii,218233.787551604,20,RODENTIA,CRICETIDAE,Microtus,LC,Herbivore
2528,Microtus schelkovnikovi,21599.5370989805,46.25861204,RODENTIA,CRICETIDAE,Microtus,LC,Herbivore
2529,Microtus schidlovskii,5132.13361999041,46.25861204,RODENTIA,CRICETIDAE,Microtus,LC,Herbivore
2530,Microtus socialis,1912293.34243349,48,RODENTIA,CRICETIDAE,Microtus,LC,Herbivore
2531,Microtus subterraneus,2884166.75467549,17.74,RODENTIA,CRICETIDAE,Microtus,LC,Herbivore
2533,Microtus thomasi,106709.534803175,23,RODENTIA,CRICETIDAE,Microtus,LC,Herbivore
2534,Microtus townsendii,213977.537248409,52.02,RODENTIA,CRICETIDAE,Microtus,LC,Herbivore
2535,Microtus transcaspicus,11320.1895994415,38.97325893,RODENTIA,CRICETIDAE,Microtus,LC,Herbivore
2536,Microtus umbrosus,885.494672579329,41.99,RODENTIA,CRICETIDAE,Microtus,EN,Herbivore
2537,Microtus xanthognathus,2264115.60021255,92.65,RODENTIA,CRICETIDAE,Microtus,LC,Herbivore
2538,Millardia gleadowi,194995.804329299,30.8,RODENTIA,MURIDAE,Millardia,LC,Herbivore
2539,Millardia kathleenae,30353.0331584301,93,RODENTIA,MURIDAE,Millardia,LC,Herbivore
2540,Millardia kondana,12.003227175122,147,RODENTIA,MURIDAE,Millardia,CR,Herbivore
2541,Millardia meltada,2256574.9409092,67.17,RODENTIA,MURIDAE,Millardia,LC,Herbivore
2542,Mimetillus moloneyi,3620738.0379132,8.89,CHIROPTERA,VESPERTILIONIDAE,Mimetillus,LC,Insectivore
2543,Mimon bennettii,5698766.81035928,12.9,CHIROPTERA,PHYLLOSTOMIDAE,Mimon,LC,Carnivore
2544,Mimon cozumelae,803478.022467779,13.405,CHIROPTERA,PHYLLOSTOMIDAE,Mimon,LC,Omnivore
2547,Mindomys hammondi,16230.486879614,60.5005,RODENTIA,CRICETIDAE,Mindomys,EN,Omnivore
2548,Miniopterus australis,2201473.47247109,7.4,CHIROPTERA,MINIOPTERIDAE,Miniopterus,LC,Insectivore
2549,Miniopterus fraterculus,1548228.84036477,7.38,CHIROPTERA,MINIOPTERIDAE,Miniopterus,LC,Insectivore
2550,Miniopterus fuscus,2987.77965971942,10.876,CHIROPTERA,MINIOPTERIDAE,Miniopterus,EN,Insectivore
2551,Miniopterus gleni,417544.26207744,10.876,CHIROPTERA,MINIOPTERIDAE,Miniopterus,LC,Insectivore
2552,Miniopterus griveaudi,1015.01653229317,10.876,CHIROPTERA,MINIOPTERIDAE,Miniopterus,DD,Insectivore
2553,Miniopterus inflatus,2348086.66322106,14.9,CHIROPTERA,MINIOPTERIDAE,Miniopterus,LC,Insectivore
2554,Miniopterus macrocneme,470896.76200706,7.53,CHIROPTERA,MINIOPTERIDAE,Miniopterus,DD,Insectivore
2555,Miniopterus magnater,3161055.36770198,14.14,CHIROPTERA,MINIOPTERIDAE,Miniopterus,LC,Insectivore
2556,Miniopterus majori,249510.545487319,10.876,CHIROPTERA,MINIOPTERIDAE,Miniopterus,LC,Insectivore
2557,Miniopterus manavi,511508.490474761,10.876,CHIROPTERA,MINIOPTERIDAE,Miniopterus,LC,Insectivore
2558,Miniopterus medius,1256810.21943307,11.4,CHIROPTERA,MINIOPTERIDAE,Miniopterus,LC,Insectivore
2559,Miniopterus minor,139455.216148714,10.876,CHIROPTERA,MINIOPTERIDAE,Miniopterus,DD,Insectivore
2560,Miniopterus natalensis,3510161.44885114,10.43,CHIROPTERA,MINIOPTERIDAE,Miniopterus,LC,Insectivore
2561,Miniopterus newtoni,848.660646380479,10.876,CHIROPTERA,MINIOPTERIDAE,Miniopterus,DD,Insectivore
2562,Miniopterus paululus,58582.535907746,10.876,CHIROPTERA,MINIOPTERIDAE,Miniopterus,DD,Insectivore
2563,Miniopterus petersoni,7618.90862206927,10.876,CHIROPTERA,MINIOPTERIDAE,Miniopterus,DD,Insectivore
2564,Miniopterus pusillus,1106935.2075284,8.95,CHIROPTERA,MINIOPTERIDAE,Miniopterus,LC,Insectivore
2565,Miniopterus robustior,1828.51932375331,10.876,CHIROPTERA,MINIOPTERIDAE,Miniopterus,EN,Insectivore
2566,Miniopterus schreibersii,21574554.8272098,11.46,CHIROPTERA,MINIOPTERIDAE,Miniopterus,NT,Insectivore
2567,Miniopterus shortridgei,184896.048459951,10.876,CHIROPTERA,MINIOPTERIDAE,Miniopterus,DD,Insectivore
2568,Miniopterus sororculus,91195.595830784,10.876,CHIROPTERA,MINIOPTERIDAE,Miniopterus,LC,Insectivore
2569,Miniopterus tristis,732324.172902146,15.17,CHIROPTERA,MINIOPTERIDAE,Miniopterus,LC,Insectivore
2570,Miopithecus ogouensis,486824.228010423,1300,PRIMATES,CERCOPITHECIDAE,Miopithecus,LC,Herbivore
2571,Miopithecus talapoin,399154.975429367,1248.86,PRIMATES,CERCOPITHECIDAE,Miopithecus,LC,Omnivore
2572,Mirimiri acrodonta,91.9495229222683,239.6283091,CHIROPTERA,PTEROPODIDAE,Mirimiri,CR,Herbivore
2573,Mirza coquereli,49227.3315740982,326.5,PRIMATES,CHEIROGALEIDAE,Mirza,EN,Omnivore
2575,Mogera etigo,739.801885720709,87.78629833,EULIPOTYPHLA,TALPIDAE,Mogera,EN,Insectivore
2576,Mogera imaizumii,148183.189267206,65.53,EULIPOTYPHLA,TALPIDAE,Mogera,LC,Insectivore
2577,Mogera insularis,758788.914102012,71.04149165,EULIPOTYPHLA,TALPIDAE,Mogera,LC,Insectivore
2578,Mogera robusta,892036.684663524,72,EULIPOTYPHLA,TALPIDAE,Mogera,LC,Insectivore
2579,Mogera tokudae,886.183856489141,133.48,EULIPOTYPHLA,TALPIDAE,Mogera,NT,Insectivore
2580,Mogera uchidai,4.4596284233644,87.78629833,EULIPOTYPHLA,TALPIDAE,Mogera,VU,Insectivore
2581,Mogera wogura,138836.524405748,96.88,EULIPOTYPHLA,TALPIDAE,Mogera,LC,Insectivore
2582,Molossops aequatorianus,3326.77690489547,6.67,CHIROPTERA,MOLOSSIDAE,Molossops,EN,Insectivore
2583,Molossops mattogrossensis,6688674.29977552,7.48,CHIROPTERA,MOLOSSIDAE,Molossops,LC,Insectivore
2584,Molossops neglectus,3879900.62141421,6.67,CHIROPTERA,MOLOSSIDAE,Molossops,DD,Insectivore
2585,Molossops temminckii,11604212.9786795,5.86,CHIROPTERA,MOLOSSIDAE,Molossops,LC,Insectivore
2586,Molossus aztecus,20680.3298628352,14.86,CHIROPTERA,MOLOSSIDAE,Molossus,LC,Insectivore
2587,Molossus coibensis,6799075.05390915,33.088,CHIROPTERA,MOLOSSIDAE,Molossus,LC,Insectivore
2588,Molossus currentium,1057547.19519591,17.79,CHIROPTERA,MOLOSSIDAE,Molossus,LC,Insectivore
2589,Molossus molossus,15766203.8887086,13.7,CHIROPTERA,MOLOSSIDAE,Molossus,LC,Insectivore
2590,Molossus pretiosus,2034441.61935638,98,CHIROPTERA,MOLOSSIDAE,Molossus,LC,Insectivore
2591,Molossus rufus,14799495.1952469,33.088,CHIROPTERA,MOLOSSIDAE,Molossus,LC,Insectivore
2592,Molossus sinaloae,2024639.8626283,21.09,CHIROPTERA,MOLOSSIDAE,Molossus,LC,Insectivore
2593,Monodelphis adusta,1083722.66005214,36.04,DIDELPHIMORPHIA,DIDELPHIDAE,Monodelphis,LC,Insectivore
2594,Monodelphis americana,1595773.67166139,19.5,DIDELPHIMORPHIA,DIDELPHIDAE,Monodelphis,LC,Insectivore
2595,Monodelphis brevicaudata,1827929.22663076,78.84,DIDELPHIMORPHIA,DIDELPHIDAE,Monodelphis,LC,Insectivore
2596,Monodelphis dimidiata,1931182.72906135,44.56,DIDELPHIMORPHIA,DIDELPHIDAE,Monodelphis,LC,Omnivore
2597,Monodelphis domestica,4111504.03174463,93.45,DIDELPHIMORPHIA,DIDELPHIDAE,Monodelphis,LC,Insectivore
2598,Monodelphis emiliae,1139161.9202742,52.33,DIDELPHIMORPHIA,DIDELPHIDAE,Monodelphis,LC,Omnivore
2599,Monodelphis glirina,1635345.79947269,69.62576822,DIDELPHIMORPHIA,DIDELPHIDAE,Monodelphis,LC,Omnivore
2600,Monodelphis handleyi,81.7669795672859,104.6212668,DIDELPHIMORPHIA,DIDELPHIDAE,Monodelphis,DD,NotAssigned
2601,Monodelphis iheringi,677845.224540056,112,DIDELPHIMORPHIA,DIDELPHIDAE,Monodelphis,DD,Omnivore
2602,Monodelphis kunsi,1203736.04356207,11.3,DIDELPHIMORPHIA,DIDELPHIDAE,Monodelphis,LC,Omnivore
2603,Monodelphis osgoodi,98348.0314136219,112,DIDELPHIMORPHIA,DIDELPHIDAE,Monodelphis,LC,Omnivore
2604,Monodelphis palliolata,115709.533353493,69.62576822,DIDELPHIMORPHIA,DIDELPHIDAE,Monodelphis,LC,Omnivore
2605,Monodelphis reigi,107.295914290422,104.6212668,DIDELPHIMORPHIA,DIDELPHIDAE,Monodelphis,VU,Omnivore
2606,Monodelphis ronaldi,574.799935900186,104.6212668,DIDELPHIMORPHIA,DIDELPHIDAE,Monodelphis,LC,Omnivore
2607,Monodelphis scalops,353076.913563902,763.19,DIDELPHIMORPHIA,DIDELPHIDAE,Monodelphis,LC,Omnivore
2608,Monophyllus plethodon,5400.1929180764,15.33,CHIROPTERA,PHYLLOSTOMIDAE,Monophyllus,LC,Omnivore
2609,Monophyllus redmani,202239.218526044,8.79,CHIROPTERA,PHYLLOSTOMIDAE,Monophyllus,LC,Omnivore
2610,Monticolomys koopmani,20438.2500552753,25,RODENTIA,NESOMYIDAE,Monticolomys,LC,Omnivore
2611,Mormoops blainvillei,200604.537308528,8.69,CHIROPTERA,MORMOOPIDAE,Mormoops,LC,Insectivore
2612,Mormoops megalophylla,3738451.64141104,16.09,CHIROPTERA,MORMOOPIDAE,Mormoops,LC,Insectivore
2613,Mormopterus acetabulosus,1872.58224723539,10.02,CHIROPTERA,MOLOSSIDAE,Mormopterus,EN,Insectivore
2614,Mormopterus beccarii,90002.7148489579,14.3,CHIROPTERA,MOLOSSIDAE,Mormopterus,LC,Insectivore
2615,Mormopterus doriae,1345.71853822581,10.02,CHIROPTERA,MOLOSSIDAE,Mormopterus,DD,Insectivore
2616,Mormopterus jugularis,235452.715317257,11.56,CHIROPTERA,MOLOSSIDAE,Mormopterus,LC,Insectivore
2617,Mormopterus kalinowskii,390276.195930431,10.02,CHIROPTERA,MOLOSSIDAE,Mormopterus,LC,Insectivore
2619,Mormopterus minutus,45073.868598622,10.02,CHIROPTERA,MOLOSSIDAE,Mormopterus,VU,Insectivore
2620,Mormopterus norfolkensis,74528.3779176663,8,CHIROPTERA,MOLOSSIDAE,Mormopterus,VU,Insectivore
2621,Mormopterus phrudus,1298.38831342137,10.02,CHIROPTERA,MOLOSSIDAE,Mormopterus,VU,Insectivore
2622,Mormopterus planiceps,3439145.05479997,9.24,CHIROPTERA,MOLOSSIDAE,Mormopterus,LC,Insectivore
2623,Moschiola indica,2014687.70043004,3000,CETARTIODACTYLA,TRAGULIDAE,Moschiola,LC,Herbivore
2624,Moschiola kathygre,12893.485662463,3065.475,CETARTIODACTYLA,TRAGULIDAE,Moschiola,LC,Herbivore
2625,Moschiola meminna,53309.0813780345,3130.95,CETARTIODACTYLA,TRAGULIDAE,Moschiola,LC,Herbivore
2626,Moschus anhuiensis,13001.3532597918,7500,CETARTIODACTYLA,MOSCHIDAE,Moschus,EN,Herbivore
2627,Moschus berezovskii,1605240.71474008,12477.41,CETARTIODACTYLA,MOSCHIDAE,Moschus,EN,Herbivore
2628,Moschus chrysogaster,1421182.81012926,13697.9,CETARTIODACTYLA,MOSCHIDAE,Moschus,EN,Herbivore
2629,Moschus cupreus,127712.257145342,14500,CETARTIODACTYLA,MOSCHIDAE,Moschus,EN,Herbivore
2630,Moschus fuscus,213158.16154942,13697.9,CETARTIODACTYLA,MOSCHIDAE,Moschus,EN,Herbivore
2631,Moschus leucogaster,225839.066508758,14500,CETARTIODACTYLA,MOSCHIDAE,Moschus,EN,Herbivore
2632,Moschus moschiferus,7222335.54427265,13315.57,CETARTIODACTYLA,MOSCHIDAE,Moschus,VU,Herbivore
2633,Mosia nigrescens,1090668.39933855,3.33,CHIROPTERA,EMBALLONURIDAE,Mosia,LC,Insectivore
2634,Mungos gambianus,1384605.44718146,1644.98,CARNIVORA,HERPESTIDAE,Mungos,LC,Insectivore
2635,Mungos mungo,10330989.0582066,1260,CARNIVORA,HERPESTIDAE,Mungos,LC,Insectivore
2636,Mungotictis decemlineata,13303.5365189196,657.03,CARNIVORA,EUPLERIDAE,Mungotictis,EN,Insectivore
2637,Muntiacus atherodes,732628.333642747,18939.1,CETARTIODACTYLA,CERVIDAE,Muntiacus,NT,Herbivore
2639,Muntiacus feae,86930.5092285847,21999.99,CETARTIODACTYLA,CERVIDAE,Muntiacus,DD,Herbivore
2640,Muntiacus gongshanensis,84594.0611319209,18590.01,CETARTIODACTYLA,CERVIDAE,Muntiacus,DD,Herbivore
2641,Muntiacus montanus,21978.6117089873,18368.41,CETARTIODACTYLA,CERVIDAE,Muntiacus,DD,Herbivore
2642,Muntiacus muntjak,1494390.75787113,17611.59,CETARTIODACTYLA,CERVIDAE,Muntiacus,LC,Herbivore
2643,Muntiacus puhoatensis,466.626608745587,18368.41,CETARTIODACTYLA,CERVIDAE,Muntiacus,DD,Herbivore
2644,Muntiacus putaoensis,88431.0649581967,12000,CETARTIODACTYLA,CERVIDAE,Muntiacus,DD,Herbivore
2645,Muntiacus reevesi,1985974.77317711,13499.94,CETARTIODACTYLA,CERVIDAE,Muntiacus,LC,Herbivore
2646,Muntiacus rooseveltorum,40489.5474745797,10762.64,CETARTIODACTYLA,CERVIDAE,Muntiacus,DD,Herbivore
2647,Muntiacus truongsonensis,7229.01623235686,15000,CETARTIODACTYLA,CERVIDAE,Muntiacus,DD,Herbivore
2648,Muntiacus vaginalis,5871914.69302407,18368.41,CETARTIODACTYLA,CERVIDAE,Muntiacus,LC,Herbivore
2649,Muntiacus vuquangensis,107262.864743143,36690.82,CETARTIODACTYLA,CERVIDAE,Muntiacus,CR,Herbivore
2650,Murexia habbema,143836.789762009,48,DASYUROMORPHIA,DASYURIDAE,Murexia,LC,Insectivore
2651,Murexia longicaudata,514947.362340916,126.79,DASYUROMORPHIA,DASYURIDAE,Murexia,LC,Insectivore
2652,Murexia melanurus,330737.856834118,48.5,DASYUROMORPHIA,DASYURIDAE,Murexia,LC,Insectivore
2653,Murexia naso,181087.748845261,43,DASYUROMORPHIA,DASYURIDAE,Murexia,LC,Insectivore
2654,Murexia rothschildi,14840.7051910776,27,DASYUROMORPHIA,DASYURIDAE,Murexia,NT,Insectivore
2655,Muriculus imberbis,35840.1893783186,18.5,RODENTIA,MURIDAE,Muriculus,LC,Herbivore
2656,Murina aenea,92936.745872784,7.5,CHIROPTERA,VESPERTILIONIDAE,Murina,VU,Insectivore
2657,Murina aurata,313348.307564008,6.544285714,CHIROPTERA,VESPERTILIONIDAE,Murina,LC,Insectivore
2658,Murina cyclotis,2021097.11700669,9.35,CHIROPTERA,VESPERTILIONIDAE,Murina,LC,Insectivore
2659,Murina florium,158995.526247363,4.41,CHIROPTERA,VESPERTILIONIDAE,Murina,LC,Insectivore
2660,Murina fusca,74.9046965001187,6.544285714,CHIROPTERA,VESPERTILIONIDAE,Murina,DD,Insectivore
2661,Murina harrisoni,5103.03233430771,6.544285714,CHIROPTERA,VESPERTILIONIDAE,Murina,LC,Insectivore
2662,Murina hilgendorfi,3712670.14705387,6.544285714,CHIROPTERA,VESPERTILIONIDAE,Murina,LC,Insectivore
2663,Murina huttoni,530295.776238883,7.56,CHIROPTERA,VESPERTILIONIDAE,Murina,LC,Insectivore
2664,Murina leucogaster,1768627.08015599,7.54,CHIROPTERA,VESPERTILIONIDAE,Murina,LC,Insectivore
2665,Murina puta,35902.5185854742,6.544285714,CHIROPTERA,VESPERTILIONIDAE,Murina,NT,Insectivore
2666,Murina rozendaali,16207.8870812338,6.544285714,CHIROPTERA,VESPERTILIONIDAE,Murina,VU,Insectivore
2667,Murina ryukyuana,1084.56954974145,6.544285714,CHIROPTERA,VESPERTILIONIDAE,Murina,EN,Insectivore
2668,Murina suilla,1441578.7713805,4,CHIROPTERA,VESPERTILIONIDAE,Murina,LC,Insectivore
2670,Murina tubinaris,56802.6895887753,5.45,CHIROPTERA,VESPERTILIONIDAE,Murina,LC,Insectivore
2671,Murina ussuriensis,773004.023102357,6.544285714,CHIROPTERA,VESPERTILIONIDAE,Murina,LC,Insectivore
2672,Mus baoulei,106050.263220636,6.42,RODENTIA,MURIDAE,Mus,LC,Omnivore
2673,Mus booduga,3186163.92777233,13.78,RODENTIA,MURIDAE,Mus,LC,Omnivore
2674,Mus bufo,69837.5118109474,8.88,RODENTIA,MURIDAE,Mus,LC,Herbivore
2675,Mus callewaerti,13917.7710686477,63.85388804,RODENTIA,MURIDAE,Mus,LC,Omnivore
2676,Mus caroli,1841119.43260409,14.26,RODENTIA,MURIDAE,Mus,LC,Omnivore
2677,Mus cervicolor,251376.437103869,17.7,RODENTIA,MURIDAE,Mus,LC,Omnivore
2678,Mus cookii,863047.410937128,20.467,RODENTIA,MURIDAE,Mus,LC,Omnivore
2679,Mus crociduroides,5576.34852604692,21.29531976,RODENTIA,MURIDAE,Mus,DD,Omnivore
2680,Mus cypriacus,9272.67495714095,21.29531976,RODENTIA,MURIDAE,Mus,LC,Omnivore
2681,Mus famulus,605.668500146841,22.88,RODENTIA,MURIDAE,Mus,EN,Omnivore
2682,Mus fernandoni,4241.49894608753,63.85388804,RODENTIA,MURIDAE,Mus,EN,Omnivore
2683,Mus fragilicauda,4661.40512165271,21.29531976,RODENTIA,MURIDAE,Mus,LC,Omnivore
2684,Mus goundae,315.421577505433,21.29531976,RODENTIA,MURIDAE,Mus,DD,Omnivore
2685,Mus haussa,2512940.15962045,8.45,RODENTIA,MURIDAE,Mus,LC,Omnivore
2686,Mus indutus,1481733.66991271,6.15,RODENTIA,MURIDAE,Mus,LC,Omnivore
2687,Mus macedonicus,1386752.33048418,15,RODENTIA,MURIDAE,Mus,LC,Omnivore
2688,Mus mahomet,418699.683315297,10,RODENTIA,MURIDAE,Mus,LC,Omnivore
2689,Mus mattheyi,335798.063975894,63.85388804,RODENTIA,MURIDAE,Mus,LC,Omnivore
2690,Mus mayori,1122.55107282915,39.75,RODENTIA,MURIDAE,Mus,VU,Omnivore
2691,Mus minutoides,4215733.96804193,6.43,RODENTIA,MURIDAE,Mus,LC,Omnivore
2692,Mus musculoides,2601362.21226,8.23,RODENTIA,MURIDAE,Mus,LC,Omnivore
2693,Mus musculus,84305264.6653829,19.3,RODENTIA,MURIDAE,Mus,LC,Omnivore
2694,Mus neavei,2824.68426205331,21.29531976,RODENTIA,MURIDAE,Mus,DD,Omnivore
2695,Mus oubanguii,77707.4899790706,21.29531976,RODENTIA,MURIDAE,Mus,DD,Omnivore
2696,Mus pahari,1683146.09504901,25.733,RODENTIA,MURIDAE,Mus,LC,Omnivore
2697,Mus phillipsi,415298.818617829,12.3,RODENTIA,MURIDAE,Mus,LC,Omnivore
2698,Mus platythrix,511781.434939864,29.08,RODENTIA,MURIDAE,Mus,LC,Omnivore
2699,Mus saxicola,1145685.55832935,21.4,RODENTIA,MURIDAE,Mus,LC,Omnivore
2700,Mus setulosus,1024285.22714052,11.18,RODENTIA,MURIDAE,Mus,LC,Omnivore
2701,Mus setzeri,157439.501587173,6.65,RODENTIA,MURIDAE,Mus,LC,Insectivore
2702,Mus shortridgei,268868.769357713,34.6,RODENTIA,MURIDAE,Mus,LC,Omnivore
2703,Mus sorella,52515.9850535967,63.85388804,RODENTIA,MURIDAE,Mus,LC,Omnivore
2704,Mus spicilegus,828004.08556918,14,RODENTIA,MURIDAE,Mus,LC,Herbivore
2705,Mus spretus,964022.686741907,16.67,RODENTIA,MURIDAE,Mus,LC,Omnivore
2706,Mus tenellus,491699.955569926,10.2,RODENTIA,MURIDAE,Mus,LC,Omnivore
2707,Mus terricolor,2890078.88252617,9,RODENTIA,MURIDAE,Mus,LC,Omnivore
2708,Mus triton,1251167.89835648,12.62,RODENTIA,MURIDAE,Mus,LC,Omnivore
2709,Mus vulcani,184.939163287099,20.2,RODENTIA,MURIDAE,Mus,LC,Omnivore
2710,Muscardinus avellanarius,3612985.84882127,29.19,RODENTIA,GLIRIDAE,Muscardinus,LC,Omnivore
2711,Musonycteris harrisoni,54476.5855174474,22.96761263,CHIROPTERA,PHYLLOSTOMIDAE,Musonycteris,VU,Omnivore
2712,Mustela africana,5209340.80037578,536.98,CARNIVORA,MUSTELIDAE,Mustela,LC,Carnivore
2713,Mustela altaica,5660761.62490871,180.24,CARNIVORA,MUSTELIDAE,Mustela,NT,Carnivore
2714,Mustela erminea,41485397.3786336,284.5,CARNIVORA,MUSTELIDAE,Mustela,LC,Carnivore
2715,Mustela eversmanii,13301659.7410513,1684.21,CARNIVORA,MUSTELIDAE,Mustela,LC,Carnivore
2717,Mustela frenata,12272118.8810305,190.03,CARNIVORA,MUSTELIDAE,Mustela,LC,Carnivore
2718,Mustela itatsi,361776.196082828,300,CARNIVORA,MUSTELIDAE,Mustela,NT,Carnivore
2719,Mustela kathiah,2774225.77094089,263.74,CARNIVORA,MUSTELIDAE,Mustela,LC,Carnivore
2720,Mustela lutreola,73610.3909584722,566.44,CARNIVORA,MUSTELIDAE,Mustela,CR,Carnivore
2721,Mustela lutreolina,84499.288562213,466.25,CARNIVORA,MUSTELIDAE,Mustela,LC,Carnivore
2722,Mustela nivalis,43235013.2106395,78.45,CARNIVORA,MUSTELIDAE,Mustela,LC,Carnivore
2723,Mustela nudipes,1346099.12881774,569.42,CARNIVORA,MUSTELIDAE,Mustela,LC,Carnivore
2724,Mustela putorius,6011883.2665191,975.55,CARNIVORA,MUSTELIDAE,Mustela,LC,Carnivore
2725,Mustela sibirica,13302862.0861319,530.85,CARNIVORA,MUSTELIDAE,Mustela,LC,Carnivore
2726,Mustela strigidorsa,1377929.11538812,1500,CARNIVORA,MUSTELIDAE,Mustela,LC,Carnivore
2727,Mustela subpalmata,44130.762371223,77.25,CARNIVORA,MUSTELIDAE,Mustela,LC,Carnivore
2728,Mydaus javanensis,105559.310388553,2500,CARNIVORA,MEPHITIDAE,Mydaus,LC,Insectivore
2729,Mydaus marchei,12447.2394333848,2500,CARNIVORA,MEPHITIDAE,Mydaus,LC,Insectivore
2730,Mylomys dybowskii,1279705.73510068,110.96,RODENTIA,MURIDAE,Mylomys,LC,Herbivore
2731,Mylomys rex,314.303221713192,110.96,RODENTIA,MURIDAE,Mylomys,DD,Herbivore
2732,Myocastor coypus,3902337.33340983,6361.55,RODENTIA,MYOCASTORIDAE,Myocastor,LC,Herbivore
2733,Myodes andersoni,71605.8732176876,46.25861204,RODENTIA,CRICETIDAE,Myodes,LC,Omnivore
2734,Myodes californicus,200392.417416862,18.3,RODENTIA,CRICETIDAE,Myodes,LC,Omnivore
2735,Myodes centralis,182576.995410191,31.80166851,RODENTIA,CRICETIDAE,Myodes,LC,Herbivore
2736,Myodes gapperi,8370657.20457728,19.83,RODENTIA,CRICETIDAE,Myodes,LC,Omnivore
2737,Myodes glareolus,8679141.90783734,20.73,RODENTIA,CRICETIDAE,Myodes,LC,Omnivore
2738,Myodes regulus,149438.993635171,46.25861204,RODENTIA,CRICETIDAE,Myodes,LC,Omnivore
2739,Myodes rex,58397.2536378015,46.25861204,RODENTIA,CRICETIDAE,Myodes,LC,Omnivore
2740,Myodes rufocanus,13113518.8459975,36.43,RODENTIA,CRICETIDAE,Myodes,LC,Herbivore
2741,Myodes rutilus,18530211.5386972,19.94,RODENTIA,CRICETIDAE,Myodes,LC,Herbivore
2742,Myodes shanseius,286130.545092121,46.25861204,RODENTIA,CRICETIDAE,Myodes,LC,Herbivore
2743,Myodes smithii,118614.516601788,34.94,RODENTIA,CRICETIDAE,Myodes,LC,Omnivore
2744,Myoictis leucura,408.992644181802,210.885,DASYUROMORPHIA,DASYURIDAE,Myoictis,DD,Carnivore
2745,Myoictis melas,398588.688342507,221.77,DASYUROMORPHIA,DASYURIDAE,Myoictis,LC,Carnivore
2746,Myoictis wallacei,56154.189317123,200,DASYUROMORPHIA,DASYURIDAE,Myoictis,LC,Carnivore
2747,Myoictis wavicus,108.732573802103,210.885,DASYUROMORPHIA,DASYURIDAE,Myoictis,DD,Carnivore
2748,Myomimus personatus,99200.1613579848,44,RODENTIA,GLIRIDAE,Myomimus,DD,Insectivore
2749,Myomimus roachi,20384.6149657657,44,RODENTIA,GLIRIDAE,Myomimus,VU,Herbivore
2750,Myomimus setzeri,161798.537026672,44,RODENTIA,GLIRIDAE,Myomimus,DD,Omnivore
2751,Myomyscus angolensis,275632.914702692,63.85388804,RODENTIA,MURIDAE,Myomyscus,LC,Omnivore
2752,Myomyscus brockmani,1713121.73724865,28,RODENTIA,MURIDAE,Myomyscus,LC,Omnivore
2753,Myomyscus verreauxii,97872.6223760625,41,RODENTIA,MURIDAE,Myomyscus,LC,Insectivore
2754,Myomyscus yemeni,77293.6209680811,25,RODENTIA,MURIDAE,Myomyscus,LC,Herbivore
2755,Myonycteris brachycephala,690.85127919308,49.12,CHIROPTERA,PTEROPODIDAE,Myonycteris,EN,Herbivore
2756,Myonycteris relicta,142193.671099885,53.32,CHIROPTERA,PTEROPODIDAE,Myonycteris,LC,Herbivore
2757,Myonycteris torquata,3650459.79254312,44.92,CHIROPTERA,PTEROPODIDAE,Myonycteris,LC,Herbivore
2758,Myoprocta acouchy,993240.832105074,954.87,RODENTIA,DASYPROCTIDAE,Myoprocta,LC,Herbivore
2759,Myoprocta pratti,2337013.67316191,966.73,RODENTIA,DASYPROCTIDAE,Myoprocta,LC,Herbivore
2760,Myopterus daubentonii,1597088.89645458,11.55,CHIROPTERA,MOLOSSIDAE,Myopterus,DD,Insectivore
2761,Myopterus whitleyi,1913732.68800096,11.55,CHIROPTERA,MOLOSSIDAE,Myopterus,LC,Insectivore
2762,Myopus schisticolor,10209782.6709936,29.99,RODENTIA,CRICETIDAE,Myopus,LC,Herbivore
2763,Myosciurus pumilio,346126.120838473,16.44,RODENTIA,SCIURIDAE,Myosciurus,LC,Herbivore
2764,Myosorex babaulti,24423.8492877889,9.130309224,EULIPOTYPHLA,SORICIDAE,Myosorex,NT,Carnivore
2765,Myosorex blarina,2272.00550789371,16,EULIPOTYPHLA,SORICIDAE,Myosorex,EN,Carnivore
2766,Myosorex cafer,167658.146435015,12.3,EULIPOTYPHLA,SORICIDAE,Myosorex,LC,Carnivore
