,Binomial,Range_km_2,AdultBodyMassG,Order,Family,Genus,RedListStatus,TrophicLevel
94,Akodon sanctipaulensis,23692.8819828725,27.1,RODENTIA,CRICETIDAE,Akodon,DD,Omnivore
95,Akodon serrensis,276085.742342017,28.3,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
96,Akodon siberiae,25253.405857717,34.6,RODENTIA,CRICETIDAE,Akodon,NT,Omnivore
97,Akodon simulator,156795.269723136,42.5,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
98,Akodon spegazzinii,219365.656587311,28.6,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
99,Akodon subfuscus,171078.411859597,30.39,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
100,Akodon surdus,16434.3602390239,38.99,RODENTIA,CRICETIDAE,Akodon,VU,Omnivore
101,Akodon sylvanus,39317.7703278843,38.99,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
102,Akodon toba,443667.530894107,51.2,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
103,Akodon torques,66655.0963010941,38.99,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
104,Akodon varius,267715.183629811,40,RODENTIA,CRICETIDAE,Akodon,DD,Omnivore
107,Alionycteris paucidentata,5062.82125396846,16.24,CHIROPTERA,PTEROPODIDAE,Alionycteris,LC,Herbivore
108,Allactaga balikunica,234641.107371933,72.5,RODENTIA,DIPODIDAE,Allactaga,LC,Omnivore
109,Allactaga bullata,1564084.57310739,72.5,RODENTIA,DIPODIDAE,Allactaga,LC,Omnivore
110,Allactaga elater,3246002.04057939,59,RODENTIA,DIPODIDAE,Allactaga,LC,Omnivore
111,Allactaga euphratica,758035.161563219,232,RODENTIA,DIPODIDAE,Allactaga,NT,Herbivore
112,Allactaga firouzi,1316.1288979815,114.1964539,RODENTIA,DIPODIDAE,Allactaga,DD,Herbivore
113,Allactaga hotsoni,497603.04854804,76.5,RODENTIA,DIPODIDAE,Allactaga,LC,Herbivore
114,Allactaga major,4297436.52945756,350,RODENTIA,DIPODIDAE,Allactaga,LC,Herbivore
115,Allactaga severtzovi,706378.869448201,159,RODENTIA,DIPODIDAE,Allactaga,LC,Herbivore
116,Allactaga sibirica,5412934.73544369,97.5,RODENTIA,DIPODIDAE,Allactaga,LC,Insectivore
117,Allactaga tetradactyla,103588.204393461,52,RODENTIA,DIPODIDAE,Allactaga,DD,Herbivore
118,Allactaga vinogradovi,53728.4825878228,61.83099239,RODENTIA,DIPODIDAE,Allactaga,NT,Herbivore
119,Allactaga williamsi,705786.963400998,23.33,RODENTIA,DIPODIDAE,Allactaga,LC,Herbivore
120,Allactodipus bobrinskii,275792.352887638,65,RODENTIA,DIPODIDAE,Allactodipus,LC,Omnivore
121,Allenopithecus nigroviridis,165349.259803732,4749.96,PRIMATES,CERCOPITHECIDAE,Allenopithecus,LC,Herbivore
122,Allocebus trichotis,42841.1563161253,78.09,PRIMATES,CHEIROGALEIDAE,Allocebus,VU,Omnivore
123,Allocricetulus curtatus,1332569.51378643,47.833,RODENTIA,CRICETIDAE,Allocricetulus,LC,Herbivore
124,Allocricetulus eversmanni,1776816.68413603,115.558,RODENTIA,CRICETIDAE,Allocricetulus,LC,Omnivore
125,Alouatta arctoidea,406536.212271325,6361.288889,PRIMATES,ATELIDAE,Alouatta,LC,Herbivore
126,Alouatta belzebul,864459.942725983,6157.91,PRIMATES,ATELIDAE,Alouatta,VU,Herbivore
127,Alouatta caraya,3064124.34018985,5576.96,PRIMATES,ATELIDAE,Alouatta,LC,Herbivore
128,Alouatta discolor,375736.421935015,6361.288889,PRIMATES,ATELIDAE,Alouatta,VU,Herbivore
129,Alouatta guariba,1076694.63496846,5188.33,PRIMATES,ATELIDAE,Alouatta,LC,Herbivore
130,Alouatta macconnelli,1763214.70489679,7250,PRIMATES,ATELIDAE,Alouatta,LC,Herbivore
131,Alouatta nigerrima,236115.952257702,6320,PRIMATES,ATELIDAE,Alouatta,LC,Herbivore
132,Alouatta palliata,567401.14263165,6576.99,PRIMATES,ATELIDAE,Alouatta,LC,Herbivore
133,Alouatta pigra,240009.946239424,7172.06,PRIMATES,ATELIDAE,Alouatta,EN,Herbivore
134,Alouatta sara,341391.846840164,6611.04,PRIMATES,ATELIDAE,Alouatta,LC,Herbivore
135,Alouatta ululata,99539.6662779899,6361.288889,PRIMATES,ATELIDAE,Alouatta,EN,Herbivore
136,Alticola albicaudus,80165.6573631497,42.21130602,RODENTIA,CRICETIDAE,Alticola,DD,Herbivore
137,Alticola argentatus,1380724.60836473,37.69,RODENTIA,CRICETIDAE,Alticola,LC,Herbivore
138,Alticola barakshin,225995.717025026,46.25861204,RODENTIA,CRICETIDAE,Alticola,LC,Herbivore
139,Alticola lemminus,2068135.04282061,46.25861204,RODENTIA,CRICETIDAE,Alticola,LC,Herbivore
140,Alticola macrotis,379234.487947056,36,RODENTIA,CRICETIDAE,Alticola,LC,Herbivore
141,Alticola montosa,19530.2605706866,46.25861204,RODENTIA,CRICETIDAE,Alticola,VU,Herbivore
142,Alticola olchonensis,1348.27610329593,42.21130602,RODENTIA,CRICETIDAE,Alticola,EN,Herbivore
143,Alticola roylei,38456.879579257,37,RODENTIA,CRICETIDAE,Alticola,NT,Herbivore
144,Alticola semicanus,671214.178599223,46.25861204,RODENTIA,CRICETIDAE,Alticola,LC,Herbivore
145,Alticola stoliczkanus,2305687.46691948,30.14,RODENTIA,CRICETIDAE,Alticola,LC,Herbivore
146,Alticola strelzowi,441283.679537872,49.99,RODENTIA,CRICETIDAE,Alticola,LC,Herbivore
147,Alticola tuvinicus,134541.029535641,46.25861204,RODENTIA,CRICETIDAE,Alticola,LC,Herbivore
148,Amblysomus corriae,50639.0328693085,44.845,AFROSORICIDA,CHRYSOCHLORIDAE,Amblysomus,NT,Insectivore
149,Amblysomus hottentotus,212504.832548184,62.6,AFROSORICIDA,CHRYSOCHLORIDAE,Amblysomus,LC,Insectivore
150,Amblysomus marleyi,1402.70798357584,36.245,AFROSORICIDA,CHRYSOCHLORIDAE,Amblysomus,EN,Insectivore
151,Amblysomus robustus,1734.95777011817,79.5,AFROSORICIDA,CHRYSOCHLORIDAE,Amblysomus,VU,Insectivore
152,Amblysomus septentrionalis,32674.7093413282,25.35,AFROSORICIDA,CHRYSOCHLORIDAE,Amblysomus,NT,Insectivore
153,Ametrida centurio,5764746.90425016,10.61,CHIROPTERA,PHYLLOSTOMIDAE,Ametrida,LC,Herbivore
154,Ammodillus imbellis,210251.146593538,49.99,RODENTIA,MURIDAE,Ammodillus,DD,Omnivore
156,Ammospermophilus harrisii,269489.12802803,126.57,RODENTIA,SCIURIDAE,Ammospermophilus,LC,Omnivore
157,Ammospermophilus interpres,312453.424734396,112.53,RODENTIA,SCIURIDAE,Ammospermophilus,LC,Omnivore
158,Ammospermophilus leucurus,990940.979642758,103.92,RODENTIA,SCIURIDAE,Ammospermophilus,LC,Omnivore
