binomial,Range,AdultBodyMass_g,Red List status,TrophicLevel,Order
Allactaga hotsoni,497396.337510591,76.5,LC,Herbivore,RODENTIA
Allactaga major,4297349.43517347,350,LC,Herbivore,RODENTIA
Allactaga severtzovi,706422.241483411,159,LC,Herbivore,RODENTIA
Allactaga sibirica,5412810.78705457,97.5,LC,Insectivore,RODENTIA
Allactaga tetradactyla,103462.202171899,52,DD,Herbivore,RODENTIA
Allactaga vinogradovi,53732.7961728194,61.83099239,NT,Herbivore,RODENTIA
Allactaga williamsi,705702.773489414,23.33,LC,Herbivore,RODENTIA
Allactodipus bobrinskii,275856.828623153,65,LC,Omnivore,RODENTIA
Allenopithecus nigroviridis,506344.525467479,4749.96,LC,Herbivore,PRIMATES
Allocebus trichotis,42841.1568895867,78.09,VU,Omnivore,PRIMATES
Allocricetulus curtatus,1332299.97438192,47.833,LC,Herbivore,RODENTIA
Allocricetulus eversmanni,1776747.23645883,115.558,LC,Omnivore,RODENTIA
Alouatta arctoidea,406536.222020425,6361.288889,LC,Herbivore,PRIMATES
Alouatta belzebul,866703.125217917,6157.91,VU,Herbivore,PRIMATES
Alouatta caraya,3064210.80158009,5576.96,LC,Herbivore,PRIMATES
Alouatta discolor,375740.768399918,6361.288889,VU,Herbivore,PRIMATES
Alouatta guariba,1076628.40243244,5188.33,LC,Herbivore,PRIMATES
Alouatta macconnelli,1763215.52590869,7250,LC,Herbivore,PRIMATES
Alouatta nigerrima,236116.252263432,6320,LC,Herbivore,PRIMATES
Alouatta palliata,567394.543485214,6576.99,LC,Herbivore,PRIMATES
Alouatta pigra,239988.90729163,7172.06,EN,Herbivore,PRIMATES
Alouatta sara,341402.344224534,6611.04,LC,Herbivore,PRIMATES
Alouatta ululata,99542.3953576148,6361.288889,EN,Herbivore,PRIMATES
Alticola albicaudus,80158.5251038799,42.21130602,DD,Herbivore,RODENTIA
Alticola argentatus,1380081.44712609,37.69,LC,Herbivore,RODENTIA
Alticola barakshin,225997.245827148,46.25861204,LC,Herbivore,RODENTIA
Alticola lemminus,2068206.89558852,46.25861204,LC,Herbivore,RODENTIA
Alticola macrotis,379222.823785506,36,LC,Herbivore,RODENTIA
Alticola montosa,19533.9333325779,46.25861204,VU,Herbivore,RODENTIA
Alticola olchonensis,1348.36796358064,42.21130602,EN,Herbivore,RODENTIA
Alticola roylei,38435.4135165327,37,NT,Herbivore,RODENTIA
Alticola semicanus,671213.841189326,46.25861204,LC,Herbivore,RODENTIA
Alticola stoliczkanus,2306364.09018844,30.14,LC,Herbivore,RODENTIA
Alticola strelzowi,441285.332093572,49.99,LC,Herbivore,RODENTIA
Alticola tuvinicus,134541.204425013,46.25861204,LC,Herbivore,RODENTIA
Amblysomus corriae,50632.8404414526,44.845,NT,Insectivore,AFROSORICIDA
Amblysomus hottentotus,212483.168641849,62.6,LC,Insectivore,AFROSORICIDA
Amblysomus marleyi,1402.68274557014,36.245,EN,Insectivore,AFROSORICIDA
Amblysomus robustus,1734.94753527874,79.5,VU,Insectivore,AFROSORICIDA
Amblysomus septentrionalis,32675.8525065712,25.35,NT,Insectivore,AFROSORICIDA
Ametrida centurio,5766469.12032201,10.61,LC,Herbivore,CHIROPTERA
Ammodillus imbellis,210235.628157969,49.99,DD,Omnivore,RODENTIA
Ammodorcas clarkei,83716.8585361551,28049.81,VU,Herbivore,CETARTIODACTYLA
Ammospermophilus harrisii,269488.409870571,126.57,LC,Omnivore,RODENTIA
Ammospermophilus interpres,312449.218476289,112.53,LC,Omnivore,RODENTIA
Ammospermophilus leucurus,990845.740805101,103.92,LC,Omnivore,RODENTIA
Ammospermophilus nelsoni,16430.6703959385,160.42,EN,Omnivore,RODENTIA
Ammotragus lervia,1416968.01436395,94202.22,VU,Herbivore,CETARTIODACTYLA
Amorphochilus schnablii,178408.336410826,3.3,VU,Insectivore,CHIROPTERA
Amphinectomys savamis,991.214108668511,214,DD,Omnivore,RODENTIA
Anathana ellioti,1366073.82397278,160,LC,Omnivore,SCANDENTIA
Andalgalomys olrogi,57114.9344345899,32.9,LC,Omnivore,RODENTIA
Andalgalomys pearsoni,139008.134140938,25.4,LC,Omnivore,RODENTIA
Andinomys edax,228613.140662261,69.75,LC,Herbivore,RODENTIA
Anisomys imitator,181682.747955794,510.5,LC,Herbivore,RODENTIA
Anomalurus beecrofti,3245229.510981,479.07,LC,Omnivore,RODENTIA
Anomalurus derbianus,5752726.98107622,665.84,LC,Omnivore,RODENTIA
Anomalurus pelii,242873.006515783,1769.99,DD,Omnivore,RODENTIA
Anomalurus pusillus,573139.903460054,250,LC,Omnivore,RODENTIA
Anonymomys mindorensis,594.231180533112,141.0605074,DD,Omnivore,RODENTIA
Anotomys leander,12508.2226706263,66.39,VU,Insectivore,RODENTIA
Anoura caudifer,5940526.44309135,10.81,LC,Omnivore,CHIROPTERA
Anoura cultrata,757500.042456767,17.39,LC,Herbivore,CHIROPTERA
Anoura fistulata,21786.6990922789,14.6025,DD,Herbivore,CHIROPTERA
Anoura geoffroyi,8204430.35012912,15.15,LC,Insectivore,CHIROPTERA
Anoura latidens,710044.889277794,15.06,LC,Omnivore,CHIROPTERA
Anoura luismanueli,84559.6916894077,14.6025,LC,Omnivore,CHIROPTERA
Anourosorex assamensis,17604.0672537611,20,LC,Insectivore,EULIPOTYPHLA
Anourosorex schmidi,7900.24823482442,16.05244685,DD,Insectivore,EULIPOTYPHLA
Anourosorex squamipes,1189018.75367813,20,LC,Insectivore,EULIPOTYPHLA
Anourosorex yamashinai,34157.0234144944,8.157340556,LC,Insectivore,EULIPOTYPHLA
Antechinomys laniger,2438408.59999749,25.57,LC,Insectivore,DASYUROMORPHIA
Antechinus adustus,4920.27057597129,30.5,LC,Insectivore,DASYUROMORPHIA
Antechinus agilis,163654.965251746,22.13,LC,Carnivore,DASYUROMORPHIA
Antechinus bellus,20577.8337492308,38.73,VU,Carnivore,DASYUROMORPHIA
Antechinus flavipes,1008833.38904762,44.33,LC,Carnivore,DASYUROMORPHIA
Antechinus godmani,3599.52160933145,75.74,NT,Carnivore,DASYUROMORPHIA
Antechinus leo,4393.22102879139,70.09,LC,Insectivore,DASYUROMORPHIA
Antechinus minimus,76275.7085954267,52.56,LC,Carnivore,DASYUROMORPHIA
Antechinus stuartii,118336.847226853,29.01,LC,Carnivore,DASYUROMORPHIA
Antechinus subtropicus,9618.05198810944,46.86444444,LC,Insectivore,DASYUROMORPHIA
Antechinus swainsonii,314283.026685584,58.69,LC,Carnivore,DASYUROMORPHIA
Anthops ornatus,21294.8518236545,19.66146341,DD,Insectivore,CHIROPTERA
Antidorcas marsupialis,1950012.8546253,33571.24,LC,Herbivore,CETARTIODACTYLA
