,binomial,Range,AdultBodyMass_g,Red List status,TrophicLevel,Order
3576,Pipistrellus pygmaeus,1936627.16514491,5.93375,LC,Insectivore,CHIROPTERA
3577,Pipistrellus raceyi,35159.5145707479,5.93375,DD,Insectivore,CHIROPTERA
3578,Pipistrellus rueppellii,2965965.75080671,7.07,LC,Insectivore,CHIROPTERA
3579,Pipistrellus rusticus,3459620.4669639,4.57,LC,Insectivore,CHIROPTERA
3580,Pipistrellus stenopterus,640597.800775871,15.67,LC,Insectivore,CHIROPTERA
3581,Pipistrellus subflavus,4264005.661425799,5.74,LC,Insectivore,CHIROPTERA
3582,Pipistrellus tenuis,7849685.4116123,3.48,LC,Insectivore,CHIROPTERA
3583,Pipistrellus wattsi,14693.0989215094,5.93375,LC,Insectivore,CHIROPTERA
3584,Pipistrellus westralis,189808.92988133102,5.93375,LC,Insectivore,CHIROPTERA
3585,Pithecheir melanurus,132.569704735909,108.0,VU,Omnivore,RODENTIA
3586,Pithecheir parvus,101819.050855151,108.0,DD,Omnivore,RODENTIA
3587,Pithecheirops otion,1378.47145237211,141.0605074,DD,Omnivore,RODENTIA
3588,Pithecia aequatorialis,125096.98678294,2375.91,LC,Omnivore,PRIMATES
3589,Pithecia albicans,65148.3962292414,2800.07,VU,Herbivore,PRIMATES
3590,Pithecia pithecia,1106697.69937263,1667.19,LC,Herbivore,PRIMATES
3591,Plagiodontia aedium,10576.599439694399,1268.86,EN,Herbivore,RODENTIA
3592,Planigale gilesi,909605.328160392,9.34,LC,Carnivore,DASYUROMORPHIA
3593,Planigale ingrami,617152.388032411,6.27,LC,Carnivore,DASYUROMORPHIA
3594,Planigale maculata,1233506.56579175,12.0,LC,Carnivore,DASYUROMORPHIA
3595,Planigale novaeguineae,30188.8994984339,14.9,LC,Carnivore,DASYUROMORPHIA
3596,Planigale tenuirostris,1617101.25259658,6.27,LC,Carnivore,DASYUROMORPHIA
3597,Platacanthomys lasiurus,28208.761259929302,163.0,VU,Herbivore,RODENTIA
3598,Platalina genovensium,300140.500369801,22.96761263,NT,Herbivore,CHIROPTERA
3599,Platymops setiger,221177.396004587,27.82447959,LC,Insectivore,CHIROPTERA
3600,Platyrrhinus albericoi,608160.339474307,28.2625,LC,Omnivore,CHIROPTERA
3601,Platyrrhinus aurarius,349895.004028977,35.12,LC,Herbivore,CHIROPTERA
3602,Platyrrhinus brachycephalus,6159441.36979019,14.26,LC,Herbivore,CHIROPTERA
3603,Platyrrhinus chocoensis,71286.9488454073,28.2625,VU,Herbivore,CHIROPTERA
3604,Platyrrhinus dorsalis,766514.8839161091,26.0,LC,Herbivore,CHIROPTERA
3605,Platyrrhinus helleri,10016822.280306099,13.44,LC,Herbivore,CHIROPTERA
3606,Platyrrhinus infuscus,1466979.13901118,50.76,LC,Herbivore,CHIROPTERA
3607,Platyrrhinus ismaeli,129434.93233650699,28.2625,NT,Herbivore,CHIROPTERA
3608,Platyrrhinus lineatus,5807570.76288982,24.34,LC,Omnivore,CHIROPTERA
3609,Platyrrhinus masu,172371.142242578,28.2625,LC,Herbivore,CHIROPTERA
3610,Platyrrhinus matapalensis,80808.0096753065,28.2625,NT,Omnivore,CHIROPTERA
3611,Platyrrhinus nigellus,632947.998100163,28.2625,LC,Herbivore,CHIROPTERA
3612,Platyrrhinus recifinus,1009827.54959458,28.2625,LC,Herbivore,CHIROPTERA
3613,Platyrrhinus umbratus,110380.993171914,25.17,DD,Omnivore,CHIROPTERA
3614,Platyrrhinus vittatus,769716.34481461,37.01,LC,Herbivore,CHIROPTERA
3615,Plecotus auritus,6533487.93602695,8.19,LC,Insectivore,CHIROPTERA
3616,Plecotus austriacus,3049356.40225583,6.75,LC,Insectivore,CHIROPTERA
3617,Plecotus balensis,1229.10220598647,7.47,DD,Insectivore,CHIROPTERA
3618,Plecotus christii,130174.76885539401,7.47,DD,Insectivore,CHIROPTERA
3619,Plecotus kolombatovici,978020.3712537921,7.47,LC,Insectivore,CHIROPTERA
3620,Plecotus macrobullaris,1010958.20179465,7.47,LC,Insectivore,CHIROPTERA
3621,Plecotus ognevi,5958715.33274172,7.47,LC,Insectivore,CHIROPTERA
3622,Plecotus sacrimontis,219285.941433425,7.47,LC,Insectivore,CHIROPTERA
3623,Plecotus sardus,23980.5907165892,7.47,VU,Insectivore,CHIROPTERA
3624,Plecotus taivanus,35902.5136024344,7.47,NT,Insectivore,CHIROPTERA
3625,Plecotus teneriffae,3039.53352489764,7.47,VU,Insectivore,CHIROPTERA
