,binomial,Range_km_2,Range,AdultBodyMass_g,Red List status,TrophicLevel,Order
679,Chrotogale owstoni,238118.096339447,238124.626640405,3267.71,EN,Omnivore,CARNIVORA
680,Chrotomys gonzalesi,41.876218795576925,41.876218978992,140.2,NT,Omnivore,RODENTIA
681,Chrotomys mindorensis,35893.94100833954,35894.387024154705,151.98,LC,Omnivore,RODENTIA
682,Chrotomys sibuyanensis,13.29864052131796,13.2986590923226,139.79,DD,Omnivore,RODENTIA
683,Chrotomys silaceus,4484.591276140872,4484.5913815542,115.0,LC,Insectivore,RODENTIA
684,Chrotomys whiteheadi,16762.78476003909,16762.7851175984,151.98,LC,Omnivore,RODENTIA
685,Chrotopterus auritus,13116543.826314883,13116792.9602089,78.26,LC,Omnivore,CHIROPTERA
686,Chrysochloris asiatica,41690.00205722419,41667.5887504664,37.16,LC,Insectivore,AFROSORICIDA
687,Chrysochloris stuhlmanni,106058.53463909109,106059.668054995,55.76,LC,Insectivore,AFROSORICIDA
688,Chrysochloris visagiei,366.475870825239,366.47587083671897,22.445,DD,Insectivore,AFROSORICIDA
689,Chrysocyon brachyurus,4335912.9359099865,4335910.27706432,23325.0,NT,Omnivore,CARNIVORA
690,Chrysospalax trevelyani,40319.19751555141,40306.4138082521,434.04,EN,Insectivore,AFROSORICIDA
691,Chrysospalax villosus,44467.94294792485,44475.3571035472,108.35,VU,Insectivore,AFROSORICIDA
692,Civettictis civetta,15258990.763914645,15260298.13173,12075.58,LC,Omnivore,CARNIVORA
693,Cloeotis percivali,528517.3075793033,528460.140880729,4.16,LC,Insectivore,CHIROPTERA
694,Clyomys laticeps,1699509.4831345049,1699627.39411579,201.0,LC,Herbivore,RODENTIA
695,Coccymys ruemmleri,31663.309320810644,31663.2741309172,29.7,LC,Herbivore,RODENTIA
696,Coelops frithii,2490979.3645480857,2491056.02635555,7.52,LC,Insectivore,CHIROPTERA
697,Coelops robinsoni,137744.37352385838,137740.901215828,6.5,VU,Insectivore,CHIROPTERA
698,Coendou bicolor,1229469.4419478693,1229394.85762469,4492.49,LC,Herbivore,RODENTIA
699,Coendou nycthemera,406493.638712983,406517.860041954,2999.98,DD,Herbivore,RODENTIA
700,Coendou prehensilis,12256690.070788814,12257346.8268539,4116.2,LC,Herbivore,RODENTIA
701,Coendou quichua,462722.1313318504,462673.254013984,3402.1675,DD,Herbivore,RODENTIA
702,Coleura afra,2699693.7630305667,2700075.42877321,10.68,LC,Insectivore,CHIROPTERA
703,Coleura seychellensis,227.69457732107955,227.69457983743598,10.64,CR,Insectivore,CHIROPTERA
704,Colobus angolensis,2295469.80582022,2295482.77509015,8990.31,LC,Herbivore,PRIMATES
705,Colobus guereza,2594742.0989050893,3050585.90426926,9925.88,LC,Herbivore,PRIMATES
706,Colobus polykomos,341021.57902305597,341043.373649895,8797.29,VU,Herbivore,PRIMATES
707,Colobus satanas,328387.3912071783,328388.648898291,9055.32,VU,Herbivore,PRIMATES
708,Colobus vellerosus,469448.17635319417,476738.355427246,7700.18,VU,Herbivore,PRIMATES
709,Colomys goslingi,904773.9381594185,904776.052221884,62.5,LC,Omnivore,RODENTIA
710,Condylura cristata,3486515.5491880267,3486994.17350683,48.15,LC,Insectivore,EULIPOTYPHLA
711,Conepatus chinga,5075423.835701022,5075175.50759436,1917.5,LC,Carnivore,CARNIVORA
712,Conepatus humboldtii,710105.7921381957,710063.062929028,1097.61,LC,Omnivore,CARNIVORA
713,Conepatus leuconotus,2498370.695424867,2498455.77105951,3293.91,LC,Omnivore,CARNIVORA
714,Conepatus semistriatus,2021502.4163191621,2021449.41115095,1997.34,LC,Insectivore,CARNIVORA
715,Congosorex phillipsorum,85.62246817709075,85.6225077316269,590.0703712999999,CR,Omnivore,EULIPOTYPHLA
716,Congosorex polli,327.8242845855716,327.824285505116,590.0703712999999,DD,Omnivore,EULIPOTYPHLA
717,Congosorex verheyeni,145309.25098456326,145308.852822088,590.0703712999999,LC,Insectivore,EULIPOTYPHLA
718,Conilurus penicillatus,16143.294949081102,16145.2314108027,175.02,VU,Omnivore,RODENTIA
719,Connochaetes gnou,403590.4409106623,403590.64805815,156547.5,LC,Herbivore,CETARTIODACTYLA
720,Connochaetes taurinus,3087721.454693371,3087760.39030925,198619.7,LC,Herbivore,CETARTIODACTYLA
721,Cormura brevirostris,7825194.881924017,7826267.28835155,9.26,LC,Insectivore,CHIROPTERA
722,Corynorhinus mexicanus,514929.032813309,514936.646561275,9.725,NT,Insectivore,CHIROPTERA
723,Corynorhinus rafinesquii,1333851.6401531796,1336202.32248813,9.15,LC,Insectivore,CHIROPTERA
724,Corynorhinus townsendii,4596732.538959636,4596886.83381922,10.3,LC,Insectivore,CHIROPTERA
725,Craseonycteris thonglongyai,7953.941870758688,7954.01340548973,1.96,VU,Insectivore,CHIROPTERA
726,Crateromys australis,22.341592921660858,22.3415814148799,445.0,DD,Herbivore,RODENTIA
727,Crateromys heaneyi,2464.5112654617874,2464.51569552034,1000.0,EN,Herbivore,RODENTIA
728,Crateromys paulus,74.70579456058434,74.70590717770109,831.6666667000001,DD,Herbivore,RODENTIA
729,Crateromys schadenbergi,2699.153525831444,2699.2404208019398,1050.0,EN,Herbivore,RODENTIA
730,Cratogeomys castanops,651639.806461347,651602.448534881,266.83,LC,Herbivore,RODENTIA
731,Cratogeomys fulvescens,2140.5957907051334,2140.59328572409,285.83,LC,Herbivore,RODENTIA
732,Cratogeomys fumosus,41174.01494105578,41174.4072438789,150.0,LC,Herbivore,RODENTIA
733,Cratogeomys goldmani,149135.55355144737,149136.23846866802,306.5,LC,Herbivore,RODENTIA
734,Cratogeomys merriami,6421.381201451028,6421.3759788341295,419.99,LC,Herbivore,RODENTIA
735,Cratogeomys perotensis,4184.989908150274,4185.15039657877,285.83,LC,Herbivore,RODENTIA
736,Cratogeomys planiceps,2517.3424037955274,2517.37243842495,285.83,LC,Herbivore,RODENTIA
737,Cremnomys cutchicus,534111.8015949581,534108.0825935521,59.8,LC,Omnivore,RODENTIA
738,Cremnomys elvira,15.31481853174867,15.314818535576698,77.1,CR,Omnivore,RODENTIA
739,Cricetomys gambianus,4139872.542503756,8389512.90592656,1267.52,LC,Omnivore,RODENTIA
740,Cricetulus alticola,140653.67066559845,140657.571480396,46.25861204,LC,Herbivore,RODENTIA
741,Cricetulus barabensis,3691847.4672460766,3692084.05779303,22.85,LC,Herbivore,RODENTIA
742,Cricetulus kamensis,106060.57034651411,105570.81738571801,30.0,LC,Omnivore,RODENTIA
743,Cricetulus lama,24454.926200496666,24442.5692898423,29.13310201,LC,Omnivore,RODENTIA
744,Cricetulus longicaudatus,2464824.0116964965,2465628.35913925,22.1,LC,Herbivore,RODENTIA
745,Cricetulus migratorius,7662306.604618655,7662029.64794433,30.59,LC,Carnivore,RODENTIA
746,Cricetulus sokolovi,358188.7775985925,358322.542255476,23.0,LC,Herbivore,RODENTIA
747,Cricetulus tibetanus,47661.83531624539,47852.8358009794,29.13310201,LC,Herbivore,RODENTIA
748,Cricetus cricetus,4921798.791165163,4924648.68612493,428.95,LC,Omnivore,RODENTIA
749,Crocidura aleksandrisi,42689.1604957636,42683.871741551404,5.0,LC,Insectivore,EULIPOTYPHLA
750,Crocidura allex,6661.282319448741,6661.28142771136,7.0,VU,Insectivore,EULIPOTYPHLA
751,Crocidura andamanensis,46.37975232536211,46.37957563979429,20.98,CR,Insectivore,EULIPOTYPHLA
752,Crocidura ansellorum,2208.8548347710007,2208.85265262318,8.157340556,EN,Insectivore,EULIPOTYPHLA
753,Crocidura arabica,1146.2523577785448,1146.2842443012,8.157340556,LC,Insectivore,EULIPOTYPHLA
754,Crocidura arispa,1050.7088103775523,1050.70881051827,10.0,LC,Insectivore,EULIPOTYPHLA
755,Crocidura armenica,772.5760630527632,772.576064052157,11.79289643,DD,Insectivore,EULIPOTYPHLA
756,Crocidura attenuata,4688645.198971617,4689117.16502886,14.265,LC,Insectivore,EULIPOTYPHLA
757,Crocidura attila,830687.6780719021,830715.104090417,5.0,LC,Insectivore,EULIPOTYPHLA
758,Crocidura baileyi,19271.56924128557,19271.5501525989,8.157340556,LC,Insectivore,EULIPOTYPHLA
759,Crocidura baluensis,2805.7044342018835,2805.71493391111,8.157340556,LC,Insectivore,EULIPOTYPHLA
760,Crocidura batesi,448106.02525365964,448111.900029851,16.49,LC,Insectivore,EULIPOTYPHLA
761,Crocidura beatus,57076.55448519633,57076.5520189094,10.55,LC,Insectivore,EULIPOTYPHLA
762,Crocidura beccarii,91815.23945249841,91817.4706570275,8.157340556,LC,Insectivore,EULIPOTYPHLA
763,Crocidura bottegi,48806.84259959453,48806.513662428704,3.49,DD,Insectivore,EULIPOTYPHLA
764,Crocidura bottegoides,10830.022123948878,10830.0256708943,8.157340556,EN,Insectivore,EULIPOTYPHLA
765,Crocidura brunnea,8474.397745435628,131393.228361891,12.0,LC,Insectivore,EULIPOTYPHLA
766,Crocidura buettikoferi,39404.17360015806,39405.6068366732,10.0,NT,Insectivore,EULIPOTYPHLA
767,Crocidura caliginea,76475.86216617664,76479.2636954405,8.157340556,LC,Insectivore,EULIPOTYPHLA
768,Crocidura canariensis,2479.8826047605003,2479.88630730578,7.5,EN,Insectivore,EULIPOTYPHLA
769,Crocidura caspica,12829.19708633399,12821.0522275376,11.79289643,DD,Insectivore,EULIPOTYPHLA
770,Crocidura cinderella,839352.0878376772,839371.8552547371,8.157340556,LC,Insectivore,EULIPOTYPHLA
771,Crocidura congobelgica,99830.80440282023,99831.3102446319,8.157340556,LC,Insectivore,EULIPOTYPHLA
772,Crocidura crenata,493923.75772029173,493947.052843154,6.52,LC,Insectivore,EULIPOTYPHLA
773,Crocidura crossei,1109738.7011432063,1109826.83842072,8.0,LC,Insectivore,EULIPOTYPHLA
774,Crocidura cyanea,2725151.5912254523,2725072.42562361,8.58,LC,Insectivore,EULIPOTYPHLA
775,Crocidura denti,1195990.81374994,1196038.15208638,7.0,LC,Insectivore,EULIPOTYPHLA
776,Crocidura desperata,16890.381857057528,16890.6879843563,11.1,EN,Insectivore,EULIPOTYPHLA
777,Crocidura dhofarensis,89.33158700800053,89.33726277115758,11.79289643,DD,Insectivore,EULIPOTYPHLA
778,Crocidura dolichura,1488076.926615318,1488528.97478073,5.63,LC,Insectivore,EULIPOTYPHLA
779,Crocidura douceti,101864.84429848561,101866.721109838,4.3,LC,Insectivore,EULIPOTYPHLA
780,Crocidura dsinezumi,292835.55663083505,292835.790081625,10.21,LC,Insectivore,EULIPOTYPHLA
781,Crocidura eisentrauti,363.73125510058946,363.73066863452794,13.78067769,VU,Insectivore,EULIPOTYPHLA
782,Crocidura elgonius,83846.90024889616,83847.6772836552,6.5,LC,Insectivore,EULIPOTYPHLA
783,Crocidura elongata,128093.24653861909,128094.517900679,17.8,LC,Insectivore,EULIPOTYPHLA
784,Crocidura erica,110717.84716890674,110718.08765806699,11.79289643,DD,Insectivore,EULIPOTYPHLA
785,Crocidura fischeri,3168.5483130040748,3168.5523409901502,11.79289643,DD,Insectivore,EULIPOTYPHLA
786,Crocidura flavescens,292204.6215192544,292163.803093141,31.22,LC,Insectivore,EULIPOTYPHLA
787,Crocidura floweri,30508.70258958337,30500.952694312404,11.79289643,DD,Insectivore,EULIPOTYPHLA
788,Crocidura foetida,732628.3983830379,732628.426133966,10.25,LC,Insectivore,EULIPOTYPHLA
789,Crocidura foxi,1659995.6581481544,1660078.46886881,21.0,LC,Insectivore,EULIPOTYPHLA
790,Crocidura fuliginosa,2850721.51500389,2850808.61436479,12.0,LC,Insectivore,EULIPOTYPHLA
791,Crocidura fulvastra,4336055.969826824,4336348.88406518,10.0,LC,Insectivore,EULIPOTYPHLA
792,Crocidura fumosa,18541.193220561705,18541.1889574348,14.49,LC,Insectivore,EULIPOTYPHLA
793,Crocidura fuscomurina,9828901.021572035,9829229.26443521,5.6,LC,Insectivore,EULIPOTYPHLA
794,Crocidura glassi,11900.867703088352,11900.902919439499,8.157340556,NT,Insectivore,EULIPOTYPHLA
795,Crocidura gmelini,2524563.2309935377,2534127.88498628,11.79289643,LC,Insectivore,EULIPOTYPHLA
796,Crocidura goliath,1015987.3127155156,579055.907833889,87.92,LC,Insectivore,EULIPOTYPHLA
797,Crocidura grandiceps,34050.89008375982,34047.1491192385,23.0,NT,Insectivore,EULIPOTYPHLA
798,Crocidura grandis,532.5733134515059,532.57241384126,11.79289643,DD,Insectivore,EULIPOTYPHLA
799,Crocidura grassei,356573.7401667022,356574.129161561,13.5,LC,Insectivore,EULIPOTYPHLA
800,Crocidura grayi,37953.6657439033,37953.5782570341,10.7,LC,Insectivore,EULIPOTYPHLA
801,Crocidura greenwoodi,51684.47186548468,51685.878794090895,8.157340556,LC,Insectivore,EULIPOTYPHLA
802,Crocidura harenna,107.92608695481873,107.92540423688,8.157340556,CR,Insectivore,EULIPOTYPHLA
803,Crocidura hikmiya,4.00756028978048,4.00756024981685,11.79289643,EN,Insectivore,EULIPOTYPHLA
804,Crocidura hildegardeae,2340412.520110172,2340544.27811221,10.28,LC,Insectivore,EULIPOTYPHLA
805,Crocidura hilliana,5296.171163522989,5296.16912489225,11.79289643,DD,Insectivore,EULIPOTYPHLA
806,Crocidura hirta,4044027.598441858,4044014.0388665,15.8,LC,Insectivore,EULIPOTYPHLA
807,Crocidura hispida,37.52061301293067,37.5206902725952,8.157340556,VU,Insectivore,EULIPOTYPHLA
808,Crocidura horsfieldii,24079.255603550366,24079.259178929704,5.47,DD,Insectivore,EULIPOTYPHLA
809,Crocidura hutanis,101089.73604545,101089.69844629301,11.79289643,LC,Insectivore,EULIPOTYPHLA
810,Crocidura indochinensis,667903.6211527822,667710.323628176,8.157340556,LC,Insectivore,EULIPOTYPHLA
811,Crocidura jacksoni,911487.6610011595,911505.031738475,7.0,LC,Insectivore,EULIPOTYPHLA
812,Crocidura jenkinsi,76.38400956057751,76.3837156712457,12.6,CR,Insectivore,EULIPOTYPHLA
813,Crocidura jouvenetae,222298.19892899913,222302.340456455,9.79,LC,Insectivore,EULIPOTYPHLA
814,Crocidura katinka,28341.373944265564,28345.0620360623,11.79289643,DD,Insectivore,EULIPOTYPHLA
815,Crocidura kivuana,1217.155109021414,1217.15496384099,13.65927211,NT,Insectivore,EULIPOTYPHLA
816,Crocidura lamottei,1559819.1944011534,1559815.80312,20.5,LC,Insectivore,EULIPOTYPHLA
817,Crocidura lanosa,4797.259612175533,4797.2515395182,8.025454179,VU,Insectivore,EULIPOTYPHLA
818,Crocidura lasiura,1574852.743529767,1577925.43851137,14.8,LC,Insectivore,EULIPOTYPHLA
819,Crocidura latona,145288.91715382403,145294.019415718,8.157340556,LC,Insectivore,EULIPOTYPHLA
820,Crocidura lea,116322.25647485233,116322.607145116,6.6,LC,Insectivore,EULIPOTYPHLA
821,Crocidura lepidura,232052.36109793975,232052.321378138,12.0,LC,Insectivore,EULIPOTYPHLA
822,Crocidura leucodon,3926380.7244407753,3927864.37518696,10.88,LC,Insectivore,EULIPOTYPHLA
823,Crocidura levicula,42377.707173044415,42377.7082858411,1.77,LC,Insectivore,EULIPOTYPHLA
824,Crocidura littoralis,1900020.8176859992,1900103.4001612999,18.61,LC,Insectivore,EULIPOTYPHLA
825,Crocidura longipes,806.2622398432587,806.229191721175,19.3,DD,Insectivore,EULIPOTYPHLA
826,Crocidura lucina,5552.606169374624,5552.60126765037,8.157340556,VU,Insectivore,EULIPOTYPHLA
827,Crocidura ludia,496218.70128855505,496220.886707946,5.15,LC,Insectivore,EULIPOTYPHLA
828,Crocidura luna,1833111.73396584,1833268.96048899,13.83,LC,Insectivore,EULIPOTYPHLA
829,Crocidura lusitania,2052894.7380987045,2052707.84403812,2.48,LC,Insectivore,EULIPOTYPHLA
830,Crocidura macarthuri,467242.2324920852,467262.622388893,8.157340556,LC,Insectivore,EULIPOTYPHLA
831,Crocidura macmillani,22024.81996422677,22024.396439387998,8.157340556,NT,Insectivore,EULIPOTYPHLA
832,Crocidura macowi,284.9911086073083,284.991051352153,11.79289643,DD,Insectivore,EULIPOTYPHLA
833,Crocidura malayana,174724.48402392658,174724.434687631,12.0,LC,Insectivore,EULIPOTYPHLA
834,Crocidura manengubae,4975.636406024658,5777.11080373824,8.157340556,VU,Insectivore,EULIPOTYPHLA
835,Crocidura maquassiensis,334669.2859452556,334700.90526005,5.99,LC,Insectivore,EULIPOTYPHLA
836,Crocidura mariquensis,2081951.106317893,2082090.8111055,10.35,LC,Insectivore,EULIPOTYPHLA
837,Crocidura maurisca,572359.6110112728,572595.6050167279,14.0,LC,Insectivore,EULIPOTYPHLA
838,Crocidura maxi,217572.14338682455,217572.15286293,7.53,LC,Insectivore,EULIPOTYPHLA
839,Crocidura mindorus,385.07278721714516,385.072922268907,11.79289643,DD,Insectivore,EULIPOTYPHLA
840,Crocidura miya,330.45801890753626,330.45871615105597,10.2,EN,Insectivore,EULIPOTYPHLA
841,Crocidura monax,7200.717993520624,7200.83631471335,16.0,DD,Insectivore,EULIPOTYPHLA
842,Crocidura monticola,1393963.209343812,1393960.56900716,6.6,LC,Insectivore,EULIPOTYPHLA
843,Crocidura montis,21776.060840243987,24589.9132121016,14.49,LC,Insectivore,EULIPOTYPHLA
844,Crocidura muricauda,403175.93824074755,403240.80985236296,8.157340556,LC,Insectivore,EULIPOTYPHLA
845,Crocidura musseri,90.58879095019834,90.58879258585259,11.79289643,DD,Insectivore,EULIPOTYPHLA
846,Crocidura mutesae,27558.65234352757,27558.669703840696,23.91,DD,Insectivore,EULIPOTYPHLA
847,Crocidura nana,117.15012105758053,117.15012203912599,7.0,LC,Insectivore,EULIPOTYPHLA
848,Crocidura nanilla,757707.4380386719,757818.830747103,6.5,LC,Insectivore,EULIPOTYPHLA
849,Crocidura negligens,196764.5359783433,196764.58515367,12.0,LC,Insectivore,EULIPOTYPHLA
850,Crocidura negrina,461.6386188733979,461.638431421351,11.33,EN,Insectivore,EULIPOTYPHLA
851,Crocidura nicobarica,90.20793628837602,90.2078987593295,28.9,CR,Insectivore,EULIPOTYPHLA
852,Crocidura nigeriae,218405.14320509005,218423.52601337398,23.0,LC,Insectivore,EULIPOTYPHLA
853,Crocidura nigricans,128501.35079899245,128601.798894422,20.0,LC,Insectivore,EULIPOTYPHLA
854,Crocidura nigripes,80622.51666929935,80622.6286817913,13.2,LC,Insectivore,EULIPOTYPHLA
855,Crocidura nigrofusca,3814650.8183134976,3815128.6497085,11.75,LC,Insectivore,EULIPOTYPHLA
856,Crocidura nimbae,45463.93000327635,45466.799913432005,15.502,NT,Insectivore,EULIPOTYPHLA
857,Crocidura niobe,20326.792422260125,20326.8046964733,16.0,LC,Insectivore,EULIPOTYPHLA
858,Crocidura obscurior,372969.6435778108,372998.122773492,4.0,LC,Insectivore,EULIPOTYPHLA
859,Crocidura olivieri,15835100.11149391,15840910.3012863,34.42,LC,Insectivore,EULIPOTYPHLA
860,Crocidura orientalis,664.6020405869424,664.601499826857,12.0,LC,Insectivore,EULIPOTYPHLA
861,Crocidura orii,945.1779699538648,945.177491561672,14.4,EN,Insectivore,EULIPOTYPHLA
862,Crocidura pachyura,64332.83087839254,64302.221223149296,8.157340556,LC,Insectivore,EULIPOTYPHLA
863,Crocidura palawanensis,11807.349874664616,11807.3488883686,8.157340556,LC,Insectivore,EULIPOTYPHLA
864,Crocidura paradoxura,105412.26683732588,105412.677823357,8.23,LC,Insectivore,EULIPOTYPHLA
865,Crocidura parvipes,5593881.939548989,5594890.99879288,8.157340556,LC,Insectivore,EULIPOTYPHLA
866,Crocidura pasha,548587.4691398815,548549.264428793,6.5,LC,Insectivore,EULIPOTYPHLA
867,Crocidura pergrisea,9.421956157350328,9.421957468822391,11.79289643,DD,Insectivore,EULIPOTYPHLA
868,Crocidura phaeura,897.110324272814,897.1103243717411,8.157340556,EN,Insectivore,EULIPOTYPHLA
869,Crocidura picea,6187.066467634585,6186.952805183871,8.157340556,EN,Insectivore,EULIPOTYPHLA
870,Crocidura pitmani,36529.85264045816,36530.095018292595,11.79289643,DD,Insectivore,EULIPOTYPHLA
871,Crocidura planiceps,479930.366424961,479968.226540394,2.5,DD,Insectivore,EULIPOTYPHLA
872,Crocidura poensis,1109762.9569406554,1109817.81775194,17.05,LC,Insectivore,EULIPOTYPHLA
873,Crocidura polia,77.1573087794378,77.1573087941463,11.79289643,DD,Insectivore,EULIPOTYPHLA
874,Crocidura pullata,50354.48963534319,50352.166806130306,11.79289643,DD,Insectivore,EULIPOTYPHLA
875,Crocidura raineyi,127.37238201162785,127.37236449695801,14.49,DD,Insectivore,EULIPOTYPHLA
876,Crocidura ramona,1510.9806475483053,1511.00513080033,11.79289643,LC,Insectivore,EULIPOTYPHLA
877,Crocidura rapax,230072.57853546954,230062.968679375,11.79289643,DD,Insectivore,EULIPOTYPHLA
878,Crocidura religiosa,23651.11031735531,23650.0266174304,7.0,DD,Insectivore,EULIPOTYPHLA
879,Crocidura rhoditis,97286.806903962,97286.89044759369,14.0,LC,Insectivore,EULIPOTYPHLA
880,Crocidura roosevelti,1975501.4938329044,1976063.13546273,11.0,LC,Insectivore,EULIPOTYPHLA
881,Crocidura russula,1926334.8450623625,1926182.43756843,9.89,LC,Insectivore,EULIPOTYPHLA
882,Crocidura selina,28965.69592381332,28965.915148204702,11.79289643,DD,Insectivore,EULIPOTYPHLA
883,Crocidura serezkyensis,280374.5598604795,280073.570156632,8.157340556,LC,Insectivore,EULIPOTYPHLA
884,Crocidura shantungensis,3043276.2797638825,3049262.92941557,4.5,LC,Insectivore,EULIPOTYPHLA
885,Crocidura sibirica,6049045.796948628,6044227.82187447,73.0,LC,Insectivore,EULIPOTYPHLA
886,Crocidura sicula,25785.954742827875,25785.9490323633,6.9,LC,Insectivore,EULIPOTYPHLA
887,Crocidura silacea,339605.1590574473,339606.76308496896,7.0,LC,Insectivore,EULIPOTYPHLA
888,Crocidura smithii,186034.54481651357,185984.455784225,8.157340556,LC,Insectivore,EULIPOTYPHLA
889,Crocidura somalica,175954.1921565172,175965.75109909198,11.5,LC,Insectivore,EULIPOTYPHLA
890,Crocidura stenocephala,1374.8921562549424,1374.89087858198,8.157340556,EN,Insectivore,EULIPOTYPHLA
891,Crocidura suaveolens,12630430.83585666,12626318.7047232,7.35,LC,Insectivore,EULIPOTYPHLA
892,Crocidura susiana,4176.578474572873,4176.84149567599,11.79289643,DD,Insectivore,EULIPOTYPHLA
893,Crocidura tanakae,82789.70570475687,82788.97558273691,14.5,LC,Insectivore,EULIPOTYPHLA
894,Crocidura tansaniana,4971.336339123942,2832.6503145445,12.0,EN,Insectivore,EULIPOTYPHLA
895,Crocidura tarella,2060.529200126395,2060.53148302511,8.157340556,EN,Insectivore,EULIPOTYPHLA
896,Crocidura tarfayensis,267324.37932883867,267266.757280248,6.59,DD,Insectivore,EULIPOTYPHLA
897,Crocidura telfordi,4256.999071632233,4256.99743602288,13.6,VU,Insectivore,EULIPOTYPHLA
898,Crocidura tenuis,28585.471026853007,28585.478773366,11.79289643,DD,Insectivore,EULIPOTYPHLA
899,Crocidura thalia,161483.835859374,161503.20457724598,8.157340556,LC,Insectivore,EULIPOTYPHLA
900,Crocidura theresae,270554.8807293696,270563.697750476,17.6,LC,Insectivore,EULIPOTYPHLA
901,Crocidura thomensis,856.641619561614,856.641627440887,8.157340556,EN,Insectivore,EULIPOTYPHLA
902,Crocidura turba,4877906.40035632,4878103.98575851,14.49,LC,Insectivore,EULIPOTYPHLA
903,Crocidura ultima,1277.4680518521106,1277.46852644431,16.0,DD,Insectivore,EULIPOTYPHLA
904,Crocidura usambarae,5471.895292959699,5471.90937427484,11.83,VU,Insectivore,EULIPOTYPHLA
905,Crocidura viaria,8201520.897944686,8206165.13895003,16.49,LC,Insectivore,EULIPOTYPHLA
906,Crocidura virgata,84.37912229392687,84.3790211355588,11.79289643,LC,Insectivore,EULIPOTYPHLA
907,Crocidura voi,3004957.3408267777,3003725.29538837,8.157340556,LC,Insectivore,EULIPOTYPHLA
908,Crocidura vorax,1238032.0225525447,1238061.30313423,8.157340556,LC,Insectivore,EULIPOTYPHLA
909,Crocidura vosmaeri,11525.821137636187,11525.8210104175,11.79289643,DD,Insectivore,EULIPOTYPHLA
910,Crocidura watasei,2460.8352579860702,2460.8293234870603,6.5,LC,Insectivore,EULIPOTYPHLA
911,Crocidura whitakeri,759763.6683802286,759432.734502855,5.58,LC,Insectivore,EULIPOTYPHLA
912,Crocidura wimmeri,33.80202774637442,33.8020278544202,23.5,CR,Insectivore,EULIPOTYPHLA
913,Crocidura wuchihensis,3884.8888572061996,3884.85603878563,11.79289643,DD,Insectivore,EULIPOTYPHLA
914,Crocidura xantippe,26975.118468686123,26975.2204825013,11.4,LC,Insectivore,EULIPOTYPHLA
915,Crocidura yankariensis,1389079.1978187764,1389106.2421658998,4.99,LC,Insectivore,EULIPOTYPHLA
916,Crocidura zaphiri,9993.13820651072,9993.16965063943,11.79289643,DD,Insectivore,EULIPOTYPHLA
917,Crocidura zarudnyi,540926.9985864295,543621.677632121,6.707999999999999,LC,Insectivore,EULIPOTYPHLA
918,Crocidura zimmeri,643.7323341353117,643.732335082015,14.49,DD,Insectivore,EULIPOTYPHLA
919,Crocidura zimmermanni,900.2007349478951,8357.697899628729,7.76,VU,Insectivore,EULIPOTYPHLA
920,Crocuta crocuta,14473653.987327334,14471905.142369699,63369.98,LC,Carnivore,CARNIVORA
921,Crossarchus alexandri,1412899.4549238062,1412932.50270317,1503.4,LC,Omnivore,CARNIVORA
922,Crossarchus ansorgei,602125.6002642014,602126.502766824,700.0,LC,Omnivore,CARNIVORA
923,Crossarchus obscurus,492130.9666949851,492155.14924088796,1395.09,LC,Omnivore,CARNIVORA
924,Crossarchus platycephalus,514804.37063941074,514816.008945259,1250.0,LC,Omnivore,CARNIVORA
925,Crossomys moncktoni,138695.33999553625,138694.412475558,168.42,LC,Insectivore,RODENTIA
926,Crunomys celebensis,10307.780293273088,10307.78029475,42.5,DD,Insectivore,RODENTIA
927,Crunomys fallax,5005.329659434367,5005.24374044201,42.5,DD,Omnivore,RODENTIA
928,Crunomys melanius,34392.83195473541,34392.8527134803,42.5,VU,Omnivore,RODENTIA
929,Crunomys suncoides,481.9315734427242,481.93131045054605,42.5,DD,Insectivore,RODENTIA
930,Cryptochloris zyli,2120.5482220889853,2120.38641815343,21.0,EN,Insectivore,AFROSORICIDA
931,Cryptomys hottentotus,427940.2976839265,828379.875235287,75.13,LC,Herbivore,RODENTIA
932,Cryptonanus agricolai,1143201.1303032998,1141063.72885588,196.8175859,DD,Omnivore,DIDELPHIMORPHIA
933,Cryptonanus chacoensis,880252.0519179981,880504.090762775,196.8175859,LC,Omnivore,DIDELPHIMORPHIA
934,Cryptonanus guahybae,7569.483915073738,7567.01780280177,196.8175859,DD,Omnivore,DIDELPHIMORPHIA
935,Cryptonanus unduaviensis,310843.990108012,310850.998397679,196.8175859,DD,Omnivore,DIDELPHIMORPHIA
936,Cryptoprocta ferox,442933.2798365984,442881.074197477,9500.0,VU,Carnivore,CARNIVORA
937,Cryptotis alticola,110995.7769649832,62305.345944696106,8.417492407000001,DD,Insectivore,EULIPOTYPHLA
938,Cryptotis brachyonyx,10525.492016841727,2677.36939396622,8.417492407000001,DD,Insectivore,EULIPOTYPHLA
939,Cryptotis colombiana,5940.029741231733,5940.02983354211,8.417492407000001,LC,Insectivore,EULIPOTYPHLA
940,Cryptotis endersi,1049.020775300137,1049.02008768206,8.0,EN,Insectivore,EULIPOTYPHLA
941,Cryptotis equatoris,33341.34956342512,33341.390323771004,7.7,LC,Insectivore,EULIPOTYPHLA
942,Cryptotis goldmani,47998.23605406828,47998.508588683704,6.73,LC,Insectivore,EULIPOTYPHLA
943,Cryptotis goodwini,39439.16339025318,39439.3600916882,7.0,LC,Insectivore,EULIPOTYPHLA
