,binomial,Range_km_2,Range,AdultBodyMass_g,Red List status,TrophicLevel,Order
2931,Neonycteris pusilla,9047.871194937225,9047.87122066958,22.96761263,DD,Omnivore,CHIROPTERA
2932,Neophascogale lorentzii,120449.99593871548,120447.179578342,212.0,LC,Insectivore,DASYUROMORPHIA
2933,Neopteryx frosti,6744.001098600076,6744.00105839847,239.6283091,EN,Herbivore,CHIROPTERA
2934,Neotetracus sinensis,251889.43741263024,252081.703274609,49.99,LC,Omnivore,EULIPOTYPHLA
2935,Neotoma albigula,834318.6677068727,834342.107936341,208.18,LC,Herbivore,RODENTIA
2936,Neotoma angustapalata,3326.75848764098,3326.8317373739,198.0,EN,Herbivore,RODENTIA
2937,Neotoma bryanti,271296.8375739593,271440.28532574803,182.0,LC,Herbivore,RODENTIA
2938,Neotoma chrysomelas,30203.16850028079,30203.5968933175,68.73202892,LC,Herbivore,RODENTIA
2939,Neotoma cinerea,3608023.855273664,3608407.83024666,285.89,LC,Herbivore,RODENTIA
2940,Neotoma devia,73684.95459186612,73683.6083827466,200.0,LC,Herbivore,RODENTIA
2941,Neotoma floridana,1870824.6935386648,1871086.89754122,249.16,LC,Herbivore,RODENTIA
2942,Neotoma fuscipes,171574.54526003322,171574.86704903198,213.26,LC,Herbivore,RODENTIA
2943,Neotoma goldmani,170746.4878022072,170757.259429445,198.0,LC,Herbivore,RODENTIA
2944,Neotoma lepida,675854.6736812245,675863.6473480411,143.88,LC,Herbivore,RODENTIA
2945,Neotoma leucodon,1076909.3051153491,1076950.80221391,215.0,LC,Herbivore,RODENTIA
2946,Neotoma macrotis,160300.23431133004,160394.344734841,225.74,LC,Herbivore,RODENTIA
2947,Neotoma magister,313401.87848923844,313436.474901586,447.0,NT,Herbivore,RODENTIA
2948,Neotoma mexicana,1784438.5395577557,1784429.13788092,203.0,LC,Herbivore,RODENTIA
2949,Neotoma micropus,1063787.8392316813,1063795.71361018,255.14,LC,Herbivore,RODENTIA
2950,Neotoma nelsoni,45.82781217555692,45.8278121698591,198.0,CR,Herbivore,RODENTIA
2951,Neotoma palatina,16058.690232895806,16059.9806054749,198.0,VU,Herbivore,RODENTIA
2952,Neotoma phenax,42612.792693341406,42633.375134927,227.49,NT,Herbivore,RODENTIA
2953,Neotoma stephensi,226732.19839546058,226739.185237888,149.22,LC,Herbivore,RODENTIA
2954,Neotomodon alstoni,27485.143821990096,27485.603594408,44.64,LC,Omnivore,RODENTIA
2955,Neotomys ebriosus,688511.0640055815,688578.676857612,64.5,LC,Herbivore,RODENTIA
2956,Neotragus batesi,802396.762739026,802403.340648131,2967.45,LC,Herbivore,CETARTIODACTYLA
2957,Neotragus pygmaeus,443509.8269327824,443521.67300967296,3913.68,LC,Herbivore,CETARTIODACTYLA
2958,Neovison vison,14573802.102218827,14573784.186454,1100.0,LC,Carnivore,CARNIVORA
2959,Nephelomys albigularis,398229.7033921127,398224.706337961,61.9,LC,Omnivore,RODENTIA
2960,Nephelomys auriventer,14415.638357735354,14415.6350172674,60.5005,LC,Omnivore,RODENTIA
2961,Nephelomys caracolus,4076.9166532298223,4076.96784254454,60.5,LC,Omnivore,RODENTIA
2962,Nephelomys devius,9591.177152941087,9590.99768331372,46.25861204,LC,Herbivore,RODENTIA
2963,Nephelomys keaysi,66985.65283736069,67023.1969267794,58.295,LC,Omnivore,RODENTIA
2964,Nephelomys levipes,157161.98050721703,157127.895791752,60.5005,LC,Omnivore,RODENTIA
2965,Nephelomys meridensis,14353.215971109401,14351.082107423701,46.25861204,LC,Omnivore,RODENTIA
2966,Nesokia bunnii,41876.0748352097,41877.2347355179,63.85388804,EN,Herbivore,RODENTIA
2967,Nesokia indica,3594104.726081261,3594582.01112817,178.08,LC,Herbivore,RODENTIA
2968,Nesolagus netscheri,14525.987313231308,14526.0351007282,1511.67,VU,Herbivore,LAGOMORPHA
2969,Nesolagus timminsi,24821.308290285477,24821.8304301093,1511.67,DD,Herbivore,LAGOMORPHA
2970,Nesomys audeberti,90733.59783675466,90723.0757360455,214.04,LC,Omnivore,RODENTIA
2971,Nesomys lambertoni,2220.631028565241,2220.49421003,155.0,EN,Omnivore,RODENTIA
2972,Nesomys rufus,106782.26103354202,106783.166148265,163.96,LC,Omnivore,RODENTIA
2973,Nesoromys ceramicus,443.23905438393297,443.24101398378303,63.85388804,EN,Omnivore,RODENTIA
2974,Nesoryzomys fernandinae,637.0687129580416,637.068720395422,32.3,VU,Omnivore,RODENTIA
2975,Nesoryzomys narboroughi,637.0687129580416,637.068720395422,68.65,VU,Omnivore,RODENTIA
