Binomial,Range_km_2_old,AdultBodyMassG,RedListStatus,TrophicLevel,total_pop,pop_density,label
Hipposideros halophyllus,23215.6525685156,4,VU,Insectivore,7499.62499062453,0.323041748169306,Entire range
Hipposideros hypophyllus,6665.2179384479,21.81,CR,Insectivore,259.807621135332,0.03897961380027,Entire range
Hipposideros inornatus,6625.21017608947,25.9,VU,Insectivore,821.17294159026,0.123946700521878,Entire range
Hippotragus equinus,5571097.58610412,264174,LC,Herbivore,76000,0.013641836070071,Entire range
Hippotragus niger,3013918.72337113,236405.9,LC,Herbivore,75000,0.024884546294636,Entire range
Hoolock leuconedys,281215.43798184,6709.768933,VU,Omnivore,22711.3055547232,0.080761233158863,Entire range
Hyaena hyaena,23460487.0039514,35070.51,NT,Omnivore,10606.0713744534,0.000452082319206,Entire range
Hyemoschus aquaticus,2448578.76731065,10850,LC,Herbivore,278000,0.11353524898255,Entire range
Hylobates klossii,6004.4802735115,5822.29,EN,Omnivore,33541.0196624969,5.58599880999886,Entire range
Hylobates moloch,39231.9707802981,5860.81,EN,Herbivore,6708.20393249937,0.170988196592667,Entire range
Hylobates pileatus,121613.228591164,5542.37,EN,Omnivore,70500,0.579706671853971,Entire range
Hypogeomys antimena,333.319306430515,1175.93,EN,Omnivore,54000,162.006817361649,Entire range
Indri indri,30053.4511697114,8565.48,CR,Herbivore,3162.27766016838,0.105221781096322,Entire range
Isoodon auratus,20997.7702244892,425,VU,Insectivore,45000,2.14308469513194,Entire range
Isoodon obesulus,203133.138500773,824.76,LC,Insectivore,47434.1649025257,0.233512686569086,Entire range
Kobus ellipsiprymnus,8949699.48919013,204393.5,LC,Herbivore,200000,0.02234711905596,Entire range
Kobus kob,2985582.86824175,80035.21,LC,Herbivore,1060660.17177982,0.355260670558596,Entire range
Kobus leche,188733.152466513,88645.04,NT,Herbivore,158750,0.841134681031552,Entire range
Kobus vardonii,338174.738172402,71462.72,NT,Herbivore,130000,0.384416650109819,Entire range
Lagorchestes hirsutus,89.1200060501315,1407.14,VU,Herbivore,6000,67.3249505461759,Entire range
Lagostrophus fasciatus,89.1199959555848,1933.48,VU,Herbivore,6363.96103067894,71.4089016998002,Entire range
Lama guanicoe,1658710.89204,120000,LC,Herbivore,1816590.2124585,1.09518193988847,Entire range
Lasiorhinus krefftii,91.2146779997775,31849.99,CR,Herbivore,120,1.31557774068218,Entire range
Lasiorhinus latifrons,68207.8859651199,26163.8,NT,Herbivore,270000,3.95848656177487,Entire range
Leontopithecus caissara,334.964064224864,604.01,CR,Omnivore,400,1.19415794922848,Entire range
Leontopithecus chrysomelas,20189.922608934,572.8,EN,Omnivore,9486.83298050514,0.469879610945474,Entire range
Leontopithecus chrysopygus,63670.7850537516,656.12,EN,Omnivore,1500,0.023558685490271,Entire range
Leontopithecus rosalia,3990.55196776202,592.52,EN,Omnivore,1500,0.375887850131477,Entire range
Leopardus guigna,317792.209873399,2200,VU,Carnivore,35200.8218654053,0.110766786509425,Entire range
Leopardus guttulus,2146503.74794624,2250,VU,NA,9070.5,0.004225708903923,Entire range
Leopardus jacobita,612427.861162025,8133.78,EN,Carnivore,2755,0.004498489005338,Entire range
Leopardus tigrinus,9389953.0676865,2250,VU,Carnivore,14323.0644765706,0.00152536060333,Entire range
Lepilemur jamesorum,64.4373302184486,726.98875,CR,Herbivore,1386,21.5092710281653,Entire range
Lepilemur septentrionalis,141.553444664762,755.77,CR,Herbivore,10.6066017177982,0.074930014899444,Entire range
Leporillus conditor,4.71339184877658,328.82,NT,Herbivore,5196.15242270664,1102.4231783435,Entire range
Liberiictis kuhni,74349.7153485591,1825.47,VU,Insectivore,7800,0.104909614830841,Entire range
Litocranius walleri,1418356.35073576,38804.37,NT,Herbivore,95000,0.066978936535039,Entire range
Lonchophylla dekeyseri,28619.1791107618,14.12333333,EN,Omnivore,2500,0.087354007965236,Entire range
Lonchorhina fernandezi,105607.866961094,14.03,EN,Insectivore,225,0.002130523099031,Entire range
Loxodonta africana,2110665.18498986,3824540,VU,Herbivore,541683.5,0.256641130887182,Entire range
Lycalopex fulvipes,11426.0286420536,3085,EN,NA,733.5,0.064195533109408,Entire range
Lycaon pictus,1272642.74600664,21999.99,EN,Carnivore,6600,0.00518605871185,Entire range
Lynx pardinus,1191.69167401818,11050,EN,Carnivore,234,0.196359515721876,Entire range
Macaca cyclopis,24554.5589881443,5748.94,LC,Omnivore,10000,0.407256347174808,Entire range
Macaca maura,4790.63200959432,7290.3,EN,Omnivore,3872.98334620742,0.808449352496894,Entire range
Macaca pagensis,2140.85262336304,4534.66,CR,Herbivore,2787.47197295327,1.30203823585692,Entire range
Macaca siberu,3863.62765014846,7500,VU,Herbivore,22583.1795812724,5.84507142669523,Entire range
Macaca sylvanus,41517.4432911962,11471.53,EN,Herbivore,15000,0.361293923972933,Entire range
Macroderma gigas,1078953.52974692,124.37,VU,Carnivore,11905.8808997907,0.011034655869362,Entire range
Macrogalidia musschenbroekii,34097.0519756861,5148.86,VU,Omnivore,13500,0.395928657105798,Entire range
