,Binomial,Range_m,pop_density,label,AdultBodyMassG,RedListStatus,TrophicLevel,MaturePop,Range
28,Bettongia penicillata,4058.2727319195897,3.62147628499757,Entire range,1184.35,CR,Herbivore,14696.9384566991,4058.2727319195897
29,Bettongia tropica,315.835889087624,22.388424039751,Entire range,1256.58,EN,Omnivore,7071.0678118654905,315.835889087624
30,Bison bison,140673.06663972,0.08636609093126099,Entire range,624577.1,NT,Herbivore,12149.3828649854,140673.06663972
31,Bos gaurus,1370086.93019976,0.008192890474975002,Entire range,721000.0,VU,Herbivore,11224.972160321799,1370086.93019976
32,Bos javanicus,156359.584953372,0.036178493638105,Entire range,635974.3,EN,Herbivore,5656.85424949237,156359.584953372
33,Bos mutus,469488.30631726,0.0184452326028,Entire range,650000.0,VU,Herbivore,8659.82101431662,469488.30631726
34,Boselaphus tragocamelus,2289610.03846483,0.036541594965012,Entire range,182253.0,LC,Herbivore,83666.0026534078,2289610.03846483
35,Brachyteles arachnoides,86274.5405965034,0.010095678214893,Entire range,10537.31,EN,Herbivore,871.000000000004,86274.5405965034
36,Brachyteles hypoxanthus,96658.1964197892,0.008845602666604,Entire range,13500.0,CR,Herbivore,855.0,96658.1964197892
38,Bubalus depressicornis,101169.81633673099,0.024710927532763997,Entire range,256989.3,EN,Herbivore,2499.99999999999,101169.81633673099
39,Bubalus mindorensis,71.86116315314791,3.57501382249821,Entire range,254389.7,CR,Herbivore,256.904651573303,71.86116315314791
40,Bubalus quarlesi,70025.7556163257,0.000714022998537,Entire range,181718.9,EN,Herbivore,50.0,70025.7556163257
42,Burramys parvus,1197.79120446926,1.87845760730643,Entire range,44.27,CR,Omnivore,2250.00000000001,1197.79120446926
43,Caenolestes condorensis,78.68288589517701,12.709244057624199,Entire range,47.81,VU,NotAssigned,1000.0,78.68288589517701
44,Callicebus barbarabrownae,129709.38709817301,0.00200448098489,Entire range,1050.0,CR,Omnivore,259.99999999999903,129709.38709817301
45,Callicebus coimbrai,38585.357510621405,0.006479141729636,Entire range,1050.0,EN,Omnivore,250.0,38585.357510621405
50,Camelus ferus,202139.475313992,0.004699725269022,Entire range,268000.0,CR,Herbivore,950.000000000001,202139.475313992
51,Canis lupus,51172690.2050336,0.002927666180774,Entire range,31756.51,LC,Carnivore,149816.554492486,51172690.2050336
52,Canis simensis,6131.383046855961,0.032129781893338996,Entire range,14361.86,EN,Carnivore,197.0,6131.383046855961
53,Capra caucasica,11887.331982021002,0.412117663826989,Entire range,58149.52,EN,Herbivore,4898.97948556635,11887.331982021002
54,Capra cylindricornis,22359.3358598194,1.1696856214876499,Entire range,50000.0,NT,Herbivore,26153.393661243997,22359.3358598194
55,Capra falconeri,18585.9383320967,0.30958888904001197,Entire range,54303.37,NT,Herbivore,5753.99999999999,18585.9383320967
56,Capra ibex,2142.0988213145497,14.667857377708799,Entire range,69546.83,LC,Herbivore,31419.9999999999,2142.0988213145497
58,Capra pyrenaica,52244.3816457298,0.9570407080143281,Entire range,60898.77,LC,Herbivore,50000.0,52244.3816457298
59,Capra sibirica,1562756.11353715,0.104793368067064,Entire range,130000.0,LC,Herbivore,163766.476604953,1562756.11353715
60,Capra walie,844.9238377946989,0.29588465707455297,Entire range,100144.0,EN,Herbivore,250.0,844.9238377946989
61,Capreolus capreolus,6440259.52946593,2.32909868482333,Entire range,22502.01,LC,Herbivore,15000000.0,6440259.52946593
62,Capreolus pygargus,11998106.1701476,0.05584214629363901,Entire range,41371.03,LC,Herbivore,670000.0,11998106.1701476
63,Capricornis crispus,139676.39988537,0.715940560338525,Entire range,43030.64,LC,Herbivore,99999.99999999971,139676.39988537
64,Caprolagus hispidus,114548.273108796,0.0012809446709040001,Entire range,2496.99,EN,Herbivore,146.73,114548.273108796
66,Cavia intermedia,0.29372890262205703,129.19168520112498,Entire range,566.7175,CR,Herbivore,37.9473319220207,0.29372890262205703
67,Cephalophus adersi,5017.95911472716,2.7899788898063203,Entire range,9249.95,VU,Herbivore,14000.0,5017.95911472716
68,Cephalophus callipygus,745835.0208917641,0.3431590000882281,Entire range,19079.23,LC,Omnivore,255940.0,745835.0208917641
69,Cephalophus dorsalis,3569429.30901229,0.136086180155901,Entire range,20000.0,NT,Omnivore,485750.0,3569429.30901229
71,Cephalophus jentinki,59693.1003357468,0.033504709736148997,Entire range,68489.54,EN,Omnivore,2000.0,59693.1003357468
72,Cephalophus leucogaster,1003258.28025858,0.191665500084823,Entire range,13208.69,NT,Omnivore,192290.0,1003258.28025858
73,Cephalophus natalensis,897289.1829242641,0.031361126976135,Entire range,12724.51,LC,Omnivore,28140.0,897289.1829242641
74,Cephalophus niger,761614.5675794891,0.08797100640148599,Entire range,19094.32,LC,Omnivore,67000.0,761614.5675794891
75,Cephalophus nigrifrons,3191995.27028307,0.062970018117281,Entire range,14676.33,LC,Omnivore,201000.0,3191995.27028307
76,Cephalophus ogilbyi,437958.932601986,0.053543833118507,Entire range,18386.42,LC,Omnivore,23450.0,437958.932601986
77,Cephalophus rufilatus,2928977.47840118,0.038887291158747,Entire range,12114.57,LC,Omnivore,113900.0,2928977.47840118
78,Cephalophus silvicultor,6159623.64753685,0.017403660699768002,Entire range,62006.6,NT,Omnivore,107200.0,6159623.64753685
79,Cephalophus spadix,6572.388585526999,0.228227528010614,Entire range,56857.02,EN,Herbivore,1500.0,6572.388585526999
80,Cephalophus weynsi,1484365.37367421,0.08485781346961399,Entire range,17000.0,LC,Omnivore,125960.0,1484365.37367421
81,Cephalophus zebra,58893.254838263,0.16130879548243,Entire range,15654.75,VU,Omnivore,9500.0,58893.254838263
82,Ceratotherium simum,1220052.10931979,0.011076494107726998,Entire range,2285939.0,NT,Herbivore,13513.8999999999,1220052.10931979
84,Cercopithecus dryas,1361.544808615,0.116128299272983,Entire range,2784.06,CR,Herbivore,158.113883008419,1361.544808615
86,Cervus albirostris,747331.83001759,0.006275659367926998,Entire range,109666.7,VU,NotAssigned,4690.0,747331.83001759
87,Cervus canadensis,10322896.2906743,0.06490426534705,Entire range,240867.1,LC,NotAssigned,670000.0,10322896.2906743
88,Cervus elaphus,3693145.60233818,0.441841501988683,Entire range,240867.1,LC,Herbivore,1631785.0,3693145.60233818
89,Cervus hanglu,47592.61853729941,0.046983503875655,Entire range,240867.1,LC,NotAssigned,2236.06797749979,47592.61853729941
91,Chalinolobus neocaledonicus,16389.2142206608,0.06132081663397,Entire range,10.17,EN,Insectivore,1005.0,16389.2142206608
92,Chinchilla lanigera,24492.7967208623,0.218431568308531,Entire range,480.28,EN,Herbivore,5350.0,24492.7967208623
93,Choeropsis liberiensis,139545.002305839,0.01602078671563,Entire range,227500.0,EN,Herbivore,2235.62071917399,139545.002305839
94,Chrysocyon brachyurus,4335910.27706432,0.0039207453368960005,Entire range,23325.0,NT,Omnivore,17000.0,4335910.27706432
95,Coleura seychellensis,227.69457983743598,0.310550554910614,Entire range,10.64,CR,Insectivore,70.71067811865491,227.69457983743598
96,Conilurus penicillatus,16145.2314108027,3.09688964671916,Entire range,175.02,VU,Omnivore,49999.999999999905,16145.2314108027
97,Connochaetes gnou,403590.64805815,0.019978163614035,Entire range,156547.5,LC,Herbivore,8063.000000000021,403590.64805815
98,Connochaetes taurinus,3087760.39030925,0.33632791043607896,Entire range,198619.7,LC,Herbivore,1038500.0,3087760.39030925
100,Crocuta crocuta,14471905.142369699,0.001649224988704,Entire range,63369.98,LC,Carnivore,23867.427594946097,14471905.142369699
101,Cryptoprocta ferox,442881.074197477,0.010764848320141,Entire range,9500.0,VU,Carnivore,4767.5475875967795,442881.074197477
102,Cuon alpinus,3444017.91678751,0.00042097331702,Entire range,15800.0,EN,Carnivore,1449.83964630576,3444017.91678751
103,Cynogale bennettii,1090109.40684715,0.002284174399707,Entire range,4246.57,EN,Omnivore,2490.00000000001,1090109.40684715
104,Cynomys ludovicianus,1820824.73589671,4.06675055210808,Entire range,797.05,LC,Herbivore,7404840.0,1820824.73589671
105,Cynomys parvidens,8276.42211218784,0.966601254933484,Entire range,899.98,EN,Omnivore,8000.0,8276.42211218784
107,Damaliscus lunatus,1840650.54845633,0.109200521613714,Entire range,136000.3,LC,Herbivore,201000.0,1840650.54845633
