binomial,estimated_pop,AdultBodyMassG,estimated_mass,pop_density,Range
Alticola semicanus,5084230.29844273,46.25861204,0.000235189436898,7.5746803573567,671213.841189326
Alticola stoliczkanus,18967492.6646804,30.14,0.000571680228913,8.22398022297105,2306364.09018844
Alticola strelzowi,5027231.55348151,49.99,0.000251311305359,11.392247119638,441285.332093572
Alticola tuvinicus,1454022.84213643,46.25861204,6.72610785516874E-05,10.8072679172932,134541.204425013
Amblysomus corriae,1031963.99621119,44.845,4.62784254100907E-05,20.3813174851302,50632.8404414526
Amblysomus hottentotus,4067362.39595854,62.6,0.000254616885987,19.1420450944718,212483.168641849
Amblysomus marleyi,13317.8352029071,36.245,4.82704936929366E-07,9.49454553780358,1402.68274557014
Amblysomus robustus,13362.355235878,79.5,1.0623072412523E-06,7.70187856644962,1734.94753527874
Ametrida centurio,78133639.3347903,10.61,0.000828997913342,13.5496501766452,5766469.12032201
Ammodillus imbellis,1973073.35067518,49.99,9.86339368002521E-05,9.3850569856439,210235.628157969
Ammodorcas clarkei,4200,28049.81,0.000117809202,0.050169106598597,83716.8585361551
Ammospermophilus harrisii,2420489.44652093,126.57,0.000306361349246,8.98179423628433,269488.409870571
Ammospermophilus interpres,2203441.11151071,112.53,0.000247953228278,7.05215753861111,312449.218476289
Ammospermophilus leucurus,10250105.588515,103.92,0.001065190972758,10.3448046112469,990845.740805101
Ammotragus lervia,10606.6017177982,94202.22,0.000999165428472,0.007485420708356,1416968.01436395
Amorphochilus schnablii,6450801.94350713,3.3,2.12876464135735E-05,36.1575141234022,178408.336410826
Amphinectomys savamis,62302.0231755561,214,1.3332632959569E-05,62.8542538193346,991.214108668511
Anathana ellioti,10371579.4071746,160,0.001659452705148,7.5922539654645,1366073.82397278
Andalgalomys olrogi,386988.140927439,32.9,1.27319098365128E-05,6.77560334715313,57114.9344345899
Andalgalomys pearsoni,1344341.71073235,25.4,3.41462794526018E-05,9.67095716405591,139008.134140938
Andinomys edax,1282646.82557634,69.75,8.946461608395E-05,5.61055598930444,228613.140662261
Anisomys imitator,1257572.95207627,510.5,0.000641990992035,6.92180719537692,181682.747955794
Anomalurus beecrofti,16804239.4347765,479.07,0.008050406986018,5.17813590006974,3245229.510981
Anomalurus derbianus,26342313.5632267,665.84,0.017539766062939,4.57910025104279,5752726.98107622
Anomalurus pelii,1014646.70496487,1769.99,0.001795914521321,4.17768413015852,242873.006515783
