binomial,estimated_pop,AdultBodyMassG,estimated_mass_Mt,pop_density,Range,estimated_mass_g
Acerodon leucotis,192947.212136505,646.6033333,0.000108541470151,15.1317134707632,12751.1806583774,108541470.151
Acerodon mackloti,682192.276624043,467.93,0.000277719861841,9.14187324998208,74622.8106614123,277719861.841
Acinonyx jubatus,10011,50577.92,0.000393816544427,0.003401284395107,2943299.89412248,393816544.427
Acomys airensis,11922214.7804212,38.657,0.000400963039387,6.53043623334054,1825638.34243621,400963039.387
Acomys cahirinus,41151438.4216808,41.16,0.00147360008873,10.2435926194556,4017285.72683786,1473600088.73
Acomys cilicicus,506.970483054916,48,2.11710873723733E-08,28.764059116988,17.625137015363,21171.0873723733
Acomys cineraceus,9611428.25101275,19.24,0.000160883775208,9.15770339231204,1049545.70368392,160883775.208
Acomys dimidiatus,19547631.6629365,50,0.000850321977338,12.5407707426581,1558726.49808071,850321977.338
Acomys ignitus,1116172.38860107,24,2.33056794739904E-05,10.6042241583814,105257.336315252,23305679.4739904
Acomys johannis,2671398.31537604,63.85388804,0.000148403876978,6.26963317767,426085.265225807,148403876.978
Acomys kempi,7153376.54009308,21.99,0.000136853392601,12.5576429044947,569643.251882304,136853392.601
Acomys louisae,11452577.2956059,20.19,0.000201167955971,16.6355477983702,688440.046244099,201167955.971
Acomys mullah,2154861.02571681,63.85388804,0.00011970874157,13.4325663750171,160420.649751978,119708741.57
Acomys percivali,3453325.67043444,21.99,6.60666093987824E-05,15.4886667041063,222958.227225518,66066609.3987824
Acomys russatus,9182957.47269602,42.35,0.000338341476603,13.0806914209576,702023.859226838,338341476.603
Acomys seurati,2880963.04122732,38.657,9.68913678077104E-05,9.63896935904873,298887.042163151,96891367.8077104
Acomys spinosissimus,645677.143591705,26.5,1.48860865455068E-05,0.376326824799599,1715735.10321923,14886086.5455068
Acomys subspinosus,1513884.71537017,21.92,2.88703870759953E-05,16.0441441658125,94357.4614965139,28870387.0759953
Acomys wilsoni,18074697.1511249,18.5,0.000290912250647,13.1661782838268,1372812.72982059,290912250.647
Aconaemys fuscus,125939.002343199,129.95,1.42382228184139E-05,3.94351113241394,31935.754233844,14238222.8184139
Aconaemys porteri,56785.8973763086,113.22,5.59349039182272E-06,2.50430266955076,22675.3331642997,5593490.39182272
Aconaemys sagei,140530.95521017,96.49,1.17970537253595E-05,3.46873896285313,40513.5574383435,11797053.7253595
Acrobates pygmaeus,5622638.72803075,13.84,7.01306417081799E-05,4.68240562372494,1200801.29315193,70130641.7081799
Addax nasomaculatus,77.9422863405995,96077.36,5.824380414198E-06,0.002307041554755,33784.5177430542,5824380.414198
Aegialomys galapagoensis,696.210953270182,64.5,3.90678776427563E-08,30.034270983858,23.1805510992547,39067.8776427563
Aegialomys xanthaeolus,3801736.96183974,79.79,0.000263906315201,14.6854203387217,258878.321093441,263906315.201
Aepeomys lugens,108306.554276416,37,3.48638798215784E-06,11.403972849456,9497.26518171979,3486387.98215784
Aepeomys reigi,81572.4989365129,37,2.62581874076635E-06,6.26685398852004,13016.4990417747,2625818.74076635
Aepyceros melampus,3000000,52591.69,0.122713943333333,0.892858806038141,3359993.74112893,122713943333.333
Aepyprymnus rufescens,1315408.07991258,2810.31,0.003379692250713,2.32131666782172,566664.642591369,3379692250.713
Aeretes melanopterus,300754.576017128,246.4344257,6.44811646591623E-05,5.35333192588623,56180.8197550423,64481164.6591623
Aeromys tephromelas,3182864.43880863,1187,0.003286912277313,8.78806132619991,362180.499277985,3286912277.313
Aeromys thomasi,3306027.60991599,1430.19,0.00411357543586,7.40917274587658,446207.386884844,4113575435.86
Aethalops aequalis,1313647.01702807,15,1.71430935722163E-05,14.1238923575534,93008.8522181021,17143093.5722163
Aethalops alecto,3005211.50177773,15,3.92180100981994E-05,19.0083993293658,158099.135529788,39218010.0981994
Aethomys bocagei,2210130.3623602,63.85388804,0.000122779112539,8.72454479376873,253323.286727661,122779112.539
Aethomys chrysophilus,34386496.022324,80.85,0.002418728936962,8.27726581940566,4154330.27917341,2418728936.962
Aethomys hindei,17804347.429618,140.65,0.002178637875399,7.17236956632373,2482352.20800869,2178637875.399
Aethomys ineptus,5244787.72646455,133.16,0.000607604462281,8.85555628963066,592259.543604944,607604462.281
Aethomys kaiseri,15209819.9520357,89.99,0.001190796576811,8.98219919277451,1693329.17536174,1190796576.811
Aethomys nyikae,5684595.58825471,77.015,0.00038088524243,6.33052849342044,897965.405915624,380885242.43
Aethomys stannarius,798836.633288983,83.48586401,5.80216628836841E-05,4.69667986954983,170085.39127142,58021662.8836841
Aethomys thomasi,1663481.2443145,63.85388804,9.24111782640553E-05,6.14485946189093,270711.031656793,92411178.2640553
Ailuropoda melanoleuca,1864,118000,0.000155130666667,0.072502100024793,25709.6001269284,155130666.667
Ailurops melanotis,1918.18262727009,8500,1.49343591380447E-05,6.98756744469041,274.513647625347,14934359.1380447
Ailurops ursinus,427020.00376712,10000,0.003862073856592,2.37419624048097,179858.765036463,3862073856.592
Ailurus fulgens,157723.23950485,5170.08,0.000735195920311,0.465492322875479,338831.022025343,735195920.311
Akodon aerosus,1073388.29036483,59.99,5.60215302789179E-05,9.40204066966289,114165.459188906,56021530.2789179
